game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,dead-of-the-night,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/764557083,,co-op,219,2,Defcon G94,IWC Grunt,,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/527227503,,co-op,201,2,Defcon G94,IWC Grunt,,,0,
bo3,revelations,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/213336617,,co-op,168,2,IamWAFFLE,IWC Grunt,,,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/753852087,,co-op,150,2,IamWAFFLE,IWC Grunt,,,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/733167861,,co-op,145,3,Defcon G94,IWC Grunt,Tru,,0,
bo3,der-eisendrache,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/277518984,,co-op,135,2,IamWAFFLE,IWC Grunt,,,0,
bo4,ancient-evil,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/740494098,,co-op,130,3,Defcon G94,IWC Grunt,Tru,,0,
bo4,classified,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/753781607,,co-op,127,2,T senior1017,IWC Grunt,,,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/524734078,,co-op,122,2,Defcon G94,IWC Grunt,,,0,
bo3,origins,high-round,mega-gobblegum,xbox,https://youtube.com/watch?v=hljpor7gA1Y,,co-op,121,2,IamWAFFLE,IWC Grunt,,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/411828173,,co-op,110,2,IamWAFFLE,IWC Grunt,,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/643906317,,co-op,106,3,iStanklin,Defcon G94,IWC Grunt,,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/423967994,,co-op,105,2,IamWAFFLE,IWC Grunt,,,0,
bo3,moon,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/169209597,,co-op,103,2,IamWAFFLE,IWC Grunt,,,0,
bo3,moon,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/216623314,,co-op,102,3,Canadubstep,IWC Grunt,iProjectOpsXP,,0,
bo4,alpha-omega,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/746853080,,co-op,100,3,Defcon G94,IWC Grunt,IamWAFFLE,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/464111541,,co-op,100,3,IamWAFFLE,IWC Grunt,Defcon G94,,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/524197553,,co-op,97,3,Defcon G94,IWC Grunt,T senior1017,,0,
bo4,classified,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/761982541,,co-op,92,3,Defcon G94,IWC Grunt,T senior1017,,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/745766742,,co-op,92,3,Defcon G94,IWC Grunt,IamWAFFLE,,0,
bo3,moon,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/215006354,,co-op,88,4,Canadubstep,Miss Disparity,iProjectOpsXP,IWC Grunt,0,
bo4,ancient-evil,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/648526386,,co-op,76,4,Defcon G94,IWC Grunt,iStanklin,PNAP1234,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/430642037,,co-op,75,3,IamWAFFLE,IWC Grunt,Defcon G94,,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/372212561,,co-op,75,3,Defcon G94,IWC Grunt,T senior1017,,0,
bo3,gorod-krovi,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/273851916,,co-op,75,3,IamWAFFLE,Defcon G94,IWC Grunt,,0,
bo3,zetsubou-no-shima,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/213523489,,co-op,74,4,Canadubstep,IWC Grunt,iProjectOpsXP,Captain Revolution,0,
