game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,verruckt,high-round,classic-gobblegum-only,xbox,https://youtube.com/watch?v=Uaqlpmuagu4,,solo,110,1,Icing,,,,0,
bo3,verruckt,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/203414141,,co-op,53,2,DracoSlays,Icing,,,0,
bo3,nacht-der-untoten,high-round,classic-gobblegum-only,xbox,https://youtube.com/watch?v=-O51sIZVWpE,,co-op,40,2,Icing,Squxree,,,0,
bo3,gorod-krovi,no-aat,classic-gobblegum-only,xbox,https://youtube.com/watch?v=9Gta7GX6CoY,,solo,94,1,Icing,,,,0,
bo3,the-giant,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=a6ES7l5QOEg,,solo,66,1,Icing,,,,0,
bo3,der-eisendrache,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=5dcscp9Sy9g,,solo,52,1,Icing,,,,0,
bo3,origins,first-room,classic-gobblegum-only,xbox,https://youtube.com/watch?v=F0KA-Q1g-h0,,co-op,34,2,Icing,Sharifmu,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=9Gta7GX6CoY,,solo,94,1,Icing,,,,0,
bo3,the-giant,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=a6ES7l5QOEg,,solo,66,1,Icing,,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=TWV7YCvrxzk,,co-op,60,3,Icing,TheUnexpectedOne,hoodsjr,,0,
bo3,der-eisendrache,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=5dcscp9Sy9g,,solo,52,1,Icing,,,,0,
bo3,der-eisendrache,no-power,classic-gobblegum-only,xbox,http://twitch.tv/videos/185589986,,co-op,40,3,TheUnexpectedOne,hoodsjr,Icing,,0,
bo3,der-eisendrache,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=y7PZ7ua47-c,,co-op,34,2,Icing,Sharifmu,,,0,
bo3,zetsubou-no-shima,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=LL0vtrINFHI,,co-op,33,3,Icing,Sharifmu,Fluxyyz,,0,
