game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/169397094,,co-op,72,3,Diegothelover,ImTyRRoN,DF04_SzR,,0,
bo3,gorod-krovi,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/125632644,,co-op,59,3,G XIII,ImTyRRoN,FuZaaX-,,0,
bo3,revelations,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/114948847,,co-op,81,3,ImTyRRoN,Galactik30,FuZaaX-,,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/121570552,,co-op,28,4,ImTyRRoN,reunionai25,eV_Crony,FuZaaX-,0,
bo3,the-giant,first-room,,playstation,http://twitch.tv/videos/71044862,,co-op,21,4,The_Ludotor,ImTyRRoN,jackda93,SL7-SzR,0,
bo3,shadows-of-evil,first-room,,playstation,http://twitch.tv/videos/69739701,,co-op,16,4,The_Ludotor,ImTyRRoN,D_Shanks83,SL7-SzR,0,
bo3,shadows-of-evil,first-room,,playstation,http://twitch.tv/videos/64265732,,co-op,15,3,The_Ludotor,ImTyRRoN,Pikachu-SzR,,0,
bo3,the-giant,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/91610975,,co-op,82,2,turok_tkt,ImTyRRoN,,,0,
bo3,revelations,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/114948847,,co-op,81,3,ImTyRRoN,Galactik30,FuZaaX-,,0,
bo3,zetsubou-no-shima,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/134320836,,co-op,66,3,ImTyRRoN,Dark-gamer-90,FuZaaX-,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/125632644,,co-op,59,3,G XIII,ImTyRRoN,FuZaaX-,,0,
bo3,kino-der-toten,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/155126020,,co-op,46,3,pmitweelder59,ImTyRRoN,G XIII,,0,
bo3,der-eisendrache,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/127030147,,co-op,37,4,G XIII,ImTyRRoN,Jumpeee8,NcgTheBest,0,
