game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shi-no-numa,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=7Yko0v321T4,,co-op,30:53,2,Kyro,Invisible Hole,,,0,
bo3,gorod-krovi,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=r7EfMV1NApE,,co-op,32:56,2,Kyro,Invisible Hole,,,0,
bo3,shangri-la,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=uSl0NmEBsY0,,co-op,33:26,2,Kyro,Invisible Hole,,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/105388545,,co-op,35:12,3,Taitastic,Invisible Hole,captaincart,,0,
bo3,der-eisendrache,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=jXCVANtiaRk,,co-op,36:58,3,Kyro,DadWontHugMe,Invisible Hole,,0,
bo3,ascension,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/160467703,,co-op,37:54,4,Taitastic,Bad_Ass_Monkey1,Invisible Hole,dtpuka98,0,
bo3,origins,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=4neHQXSqTz8,,co-op,39:14,4,Taitastic,Invisible Hole,SpaceFreak127,DadWontHugMe,0,
bo3,shi-no-numa,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=TPmUsa_edY8,,co-op,39:55,3,Dark_Wolfree,Invisible Hole,WhiteChocolate,,0,
bo3,der-eisendrache,30-speedrun,classic-gobblegum-only,playstation,http://twitch.tv/videos/166071413,,co-op,41:02,4,Taitastic,Invisible Hole,SGTSalt357,KameronJ1027,0,
bo3,gorod-krovi,30-speedrun,classic-gobblegum-only,playstation,http://twitch.tv/videos/121690814,,co-op,48:41,4,Invisible Hole,Taitastic,Cid,MeloButter,0,
bo2,origins,30-speedrun,,steam,https://youtube.com/watch?v=cqVMsvcU988,,co-op,1:24:27,4,Mikey0006,Righnor,Invisible Hole,Code Name Spaghetti,0,
bo3,origins,50-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=ACKvtBtAoaA,,co-op,1:13:42,2,Taitastic,Invisible Hole,,,0,
bo3,gorod-krovi,50-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=gem65_VEPh4,,co-op,1:16:36,2,Kyro,Invisible Hole,,,0,
bo3,shadows-of-evil,50-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/158731913,,co-op,1:47:50,4,Taitastic,Invisible Hole,Cid,Wolfie,0,
bo3,origins,50-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=4neHQXSqTz8,,co-op,1:48:28,4,Taitastic,Invisible Hole,SpaceFreak127,DadWontHugMe,0,
bo3,the-giant,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=Mv1JH8d1zOI,,co-op,2:39,4,Mikey0006,Invisible Hole,Freckleston,Kooky,0,
bo3,the-giant,ee-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=Mtk1IFdA4ns,,co-op,2:47,4,Mikey0006,Invisible Hole,Freckleston,Kooky,0,
bo3,ascension,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=838k5m9cpmg,,co-op,7:33,4,Invisible Hole,GregFPS,Kooky,Scottydogs007,0,
bo3,shangri-la,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=b6UxoN0b8IY,,co-op,10:40,4,PWB Kyro,Bobo,MeloButter,Invisible Hole,0,
aw,infection,ee-speedrun,,playstation,https://youtube.com/watch?v=3PMo1z97P0s,,co-op,11:38,3,Kooky,Invisible Hole,Hayden,,0,
bo3,zetsubou-no-shima,ee-speedrun,any,steam,https://youtube.com/watch?v=7OVd5hustCA,,co-op,12:44.40,4,Invisible Hole,UltimateZenith1,Itzs Nukez,x_Kip,0,
aw,infection,ee-speedrun,,playstation,https://youtube.com/watch?v=yFs0j_Vr7pw,,co-op,14:07,2,Kooky,Invisible Hole,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=2Xy05BYWnes,,co-op,15:53,4,Mikey0006,Freckleston,Kooky,Invisible Hole,0,
