game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shi-no-numa,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=pc_GJdsH5Lg,,co-op,53,4,GizzyGao1,iProjectOpsXP,Its_Gr33nZ,Spykes27,0,
custom,daybreak-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=zj0MdOg57E0,,solo,385,1,Its_Gr33nZ,,,,0,
custom,evil-christmas-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=Ho3FZTPMDKw,,solo,116,1,Its_Gr33nZ,,,,0,
custom,rainy-death-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=rzbC_ESnK7w,,solo,107,1,Its_Gr33nZ,,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/609976929,,co-op,57,4,Its_Gr33nZ,The-Sheitan-56,Monster115,lucasdx_06,0,
bo3,shi-no-numa,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/622681027,,co-op,44,2,Its_Gr33nZ,Monster115,,,0,
bo3,shi-no-numa,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/604639271,,co-op,37,3,Its_Gr33nZ,Monster115,The-Sheitan-56,,0,
custom,mcdonalds-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=JztC6rTeBYo,,solo,138,1,Its_Gr33nZ,,,,0,
custom,evil-christmas-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=Ho3FZTPMDKw,,solo,116,1,Its_Gr33nZ,,,,0,
custom,rainy-death-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=rzbC_ESnK7w,,solo,107,1,Its_Gr33nZ,,,,0,
bo3,shadows-of-evil,no-aat,mega-gobblegum,playstation,http://twitch.tv/videos/616364667,,solo,148,1,Its_Gr33nZ,,,,0,
bo3,verruckt,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=yteKFPMpT8A,,co-op,65,4,K3K41,Exiled Clipz,Aeon_Yuuki,Its_Gr33nZ,0,
bo3,the-giant,first-room,,playstation,http://twitch.tv/videos/67502282,,co-op,41,2,WoODsIDe_62,Its_Gr33nZ,,,0,
bo3,revelations,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=qNniOW4Pj1I,,co-op,18,4,OCD,actenergetic,mthicks,Its_Gr33nZ,0,
bo3,zetsubou-no-shima,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=MlN5uh6LV08,,co-op,17,4,OCD,Its_Gr33nZ,mthicks,actenergetic,0,
custom,der-riese-declassified-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=kN-5OB0h2TQ,,solo,27,1,Its_Gr33nZ,,,,0,
bo3,verruckt,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=yteKFPMpT8A,,co-op,65,4,K3K41,Exiled Clipz,Aeon_Yuuki,Its_Gr33nZ,0,
bo3,verruckt,no-power,no-gobblegum,playstation,http://twitch.tv/videos/629858249,,co-op,36,4,Its_Gr33nZ,CynicalDeadpool,Sartinio,LeCranedeZizou,0,
bo3,zetsubou-no-shima,no-power,no-gobblegum,playstation,http://twitch.tv/videos/603255573,,co-op,34,2,Its_Gr33nZ,Monster115,,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/66245772,,co-op,26,4,My-Name-is-NeOx,Blazer-95,Its_Gr33nZ,sefro_gf,0,
custom,blockbuster-video-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=IJyjWchhpwM,,solo,76,1,Its_Gr33nZ,,,,0,
custom,terminal-reimagined-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=BFZZrWWsdoY,,solo,69,1,Its_Gr33nZ,,,,0,
bo3,verruckt,no-perks,mega-gobblegum,playstation,http://twitch.tv/videos/635665676,,solo,63,1,Its_Gr33nZ,,,,0,
bo3,verruckt,no-perks,classic-gobblegum-only,playstation,http://twitch.tv/videos/614150902,,solo,49,1,Its_Gr33nZ,,,,0,
bo3,revelations,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=B-dw3sdgRc4,,co-op,44:05,3,OCD,Its_Gr33nZ,CynicalDeadpool,,0,
bo3,shi-no-numa,50-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=pc_GJdsH5Lg,,co-op,3:29:30,4,GizzyGao1,iProjectOpsXP,Its_Gr33nZ,Spykes27,0,
custom,sandys-tree-dome,custom-box-map-bo3,,steam,https://youtube.com/watch?v=Q9J5MmMUf_s,,solo,99,1,Its_Gr33nZ,,,,0,
custom,atrox,custom-box-map-bo3,,steam,http://twitch.tv/videos/1549687019,,solo,81,1,Its_Gr33nZ,,,,0,
community,buried,com-no-buildables,with-leroy,steam,http://twitch.tv/videos/1014803200,,solo,55,1,Its_Gr33nZ,,,,0,
community,kino-der-toten,com-remix-hr,,steam,http://twitch.tv/videos/1044049601,,solo,79,1,Its_Gr33nZ,,,,0,
community,shangri-la,com-remix-30-speedrun,,steam,https://youtube.com/watch?v=0QuNW51iqI4,,solo,35:34,1,Its_Gr33nZ,,,,0,
community,shi-no-numa,com-remix-50-speedrun,,steam,https://youtube.com/watch?v=cSFjPuMCC74,,solo,1:13:23,1,Its_Gr33nZ,,,,0,
