game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shangri-la,ee-speedrun,any,xbox,https://youtube.com/watch?v=dpGkSuZP1_M,,co-op,20:02,4,Itzz Hush,StealthyViking2,Nyeh Squidwid,NixLeD MoDz,0,
bo3,moon,ee-speedrun,any,xbox,https://youtube.com/watch?v=FRpzegfxzoE,,co-op,21:26,2,Itzz Hush,StealthyViking2,,,0,
bo3,zetsubou-no-shima,ee-speedrun,any,xbox,https://youtube.com/watch?v=wdB_62nDSkQ,,co-op,24:06,2,Itzz Hush,StealthyViking2,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,https://youtube.com/watch?v=Eqfo4v8siok,,co-op,32:03,4,Itzz Hush,SPUD XxNEONxX,StealthyViking2,TeMpEsT ReLoAdZ,0,
bo3,shadows-of-evil,ee-speedrun,any,steam,https://youtube.com/watch?v=9bhLc32wLG8,,co-op,32:19,3,Itzz Hush,SPUD XxNEONxX,TeMpEsT ReLoAdZ,,0,
bo3,zetsubou-no-shima,ee-speedrun,any,xbox,https://youtube.com/watch?v=Xtkp8MZnl5k,,co-op,33:29,3,Itzz Hush,SPUD XxNEONxX,TeMpEsT ReLoAdZ,,0,
bo3,der-eisendrache,ee-speedrun,any,xbox,https://youtube.com/watch?v=fhMIgs8hkMk,,co-op,33:33,2,Itzz Hush,StealthyViking2,,,0,
bo3,zetsubou-no-shima,ee-speedrun,any,steam,https://youtube.com/watch?v=5azv3bSDXeY,,solo,34:03,1,Itzz Hush,,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,https://youtube.com/watch?v=ptM4mAmH7rc,,co-op,34:12,3,Itzz Hush,StealthyViking2,TeMpEsT ReLoAdZ,,0,
bo3,der-eisendrache,ee-speedrun,any,xbox,https://youtube.com/watch?v=-xfd9wLLWmM,,co-op,34:39,4,Itzz Hush,SPUD XxNEONxX,TeMpEsT ReLoAdZ,StealthyViking2,0,
bo3,der-eisendrache,ee-speedrun,any,steam,https://youtube.com/watch?v=3UsB6q9hWaQ,,solo,36:57,1,Itzz Hush,,,,0,
