game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shangri-la,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/976995022,,co-op,38,2,Chimyex,JaderGator24,,,0,
bo3,shangri-la,high-round,no-gobblegum,xbox,http://twitch.tv/videos/1113180574,,co-op,33,3,Chimyex,ApExskilzzz619,JaderGator24,,0,
iw,spaceland,high-round,fate-cards-only,xbox,http://twitch.tv/videos/1053672959,,co-op,29,4,Chimyex,ApExskilzzz619,TheEpicSwift,JaderGator24,0,
bo3,verruckt,high-round,no-gobblegum,xbox,http://twitch.tv/videos/1110340702,,co-op,28,2,Chimyex,JaderGator24,,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/977660056,,co-op,20,3,Chimyex,JaderGator24,ApExskilzzz619,,0,
bo3,kino-der-toten,no-aat,classic-gobblegum-only,xbox,http://twitch.tv/videos/977173344,,co-op,27,2,Chimyex,JaderGator24,,,0,
bo3,dead-ops-arcade-ii,doa,flawless,xbox,http://twitch.tv/videos/1110382552,,co-op,11,2,Chimyex,JaderGator24,,,0,
bo4,voyage-of-despair,first-room,no-elixirs,xbox,http://twitch.tv/videos/1683877096,,co-op,24,2,Chimyex,JaderGator24,,,0,
bo4,alpha-omega,first-room,no-elixirs,xbox,http://twitch.tv/videos/1683108855,,co-op,18,2,Chimyex,JaderGator24,,,0,
bo3,origins,first-room,no-gobblegum,xbox,http://twitch.tv/videos/1678698654,,co-op,18,4,Chimyex,JaderGator24,ApExskilzzz619,Lil Keke1347,0,
bo4,classified,first-room,no-elixirs,xbox,http://twitch.tv/videos/1683115595,,co-op,16,2,Chimyex,JaderGator24,,,0,
bo3,verruckt,first-room,no-gobblegum-jug-side,xbox,http://twitch.tv/videos/1544649332,,co-op,12,2,Chimyex,JaderGator24,,,0,
bo3,verruckt,first-room,no-gobblegum-mixed,xbox,http://twitch.tv/videos/977608916,,co-op,12,3,Chimyex,JaderGator24,ApExskilzzz619,,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,xbox,http://twitch.tv/videos/977092913,,co-op,11,2,Chimyex,JaderGator24,,,0,
bo3,verruckt,no-power,no-gobblegum,xbox,http://twitch.tv/videos/1678696648,,co-op,23,4,Chimyex,JaderGator24,ApExskilzzz619,Lil Keke1347,0,
