game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,der-riese,no-power,fixed-wunderwaffe,steam,https://youtube.com/watch?v=FMdoTkY1KQ0,,co-op,31,3,slice1216,Jeoy,Scag,,0,
waw,der-riese,no-power,fixed-wunderwaffe,steam,https://youtube.com/watch?v=qaOlZ2JKM8Q,,co-op,28,4,slice1216,Scag,Jeoy,Supreme69420,0,
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=QC7iLVNM6LE,,co-op,0:49,4,Margz,Jeoy,DallasH24,slice1216,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2186299284,,co-op,23:16,4,Gingerbeast4910,Mommy Nanny,Jeoy,Sackittome,0,
bo3,origins,ee-speedrun,any,steam,http://twitch.tv/videos/2112783524,,co-op,24:31,3,Jeoy,Sackittome,Supreme69420,,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2049793711,,co-op,26:37,3,Sackittome,Jeoy,Supreme69420,,0,
bo3,origins,ee-speedrun,any,steam,https://youtube.com/watch?v=HzfKrA6rNes,,co-op,27:32,2,Sackittome,Jeoy,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=JXI2sQDSeuc,,co-op,27:53,2,Sackittome,Jeoy,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=QpqWH2YzCZ4,,solo,35:34,1,Jeoy,,,,0,
community,115-bo3,com-song-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2110894894,,co-op,0:26,2,Jeoy,Sackittome,,,0,
