game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,steam,http://twitch.tv/videos/529201536,,solo,214,1,Joker,,,,0,
bo,nacht-der-untoten,high-round,,steam,http://twitch.tv/videos/1692980155,,co-op,118,2,Joker,oxygen,,,0,
bo2,origins,high-round,,steam,http://twitch.tv/videos/355321278,,co-op,114,2,Joker,oxygen,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/307528546,,co-op,110,2,AmneziaHardcover,Joker,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/224876873,,solo,105,1,Joker,,,,0,
bo,kino-der-toten,high-round,,steam,https://youtube.com/watch?v=IFuGijaZsDU,,co-op,104,2,SlayingSora,Joker,,,0,
bo,call-of-the-dead,high-round,,steam,https://youtube.com/watch?v=7xikBBBz6P8,,co-op,101,2,Joker,ZEC Spoony,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=mk-Ectxiuwc,,co-op,100,2,Joker,Piggies,,,0,
bo,five,high-round,,steam,https://youtube.com/watch?v=0i-qLAbqCss,,co-op,87,2,oxygen,Joker,,,0,
bo,moon,high-round,,steam,https://youtube.com/watch?v=hKb9JchqK9c,,co-op,80,2,Joker,oxygen,,,0,
bo2,bus-depot,high-round,,steam,http://twitch.tv/videos/310745633,,co-op,70,2,AmneziaHardcover,Joker,,,0,
bo,der-riese,high-round,,steam,https://youtube.com/watch?v=LNkRjKVfzmU,,co-op,60,4,Zi0,Joker,TailsCanFly,xAurora_,0,
bo2,bus-depot,high-round,,steam,https://youtube.com/watch?v=Bd41ItXSPfo,,co-op,57,2,Corb,Joker,,,0,
bo,shangri-la,high-round,,steam,http://twitch.tv/videos/932366810,,co-op,47,4,TailsCanFly,BastiPlays,NitrogenFTW,Joker,0,
bo,moon,first-room,,steam,http://twitch.tv/videos/41739532,,co-op,31,2,Corb,Joker,,,0,
bo2,nuketown,first-room,,steam,https://youtube.com/watch?v=fuxXxE3p55Q,,co-op,30,3,Corb,Joker,Piggies,,0,
bo,ascension,first-room,,steam,http://twitch.tv/videos/46820207,,co-op,29,2,ZW Pseudohalluzinator,Joker,,,0,
bo,shangri-la,no-power,,steam,https://youtube.com/watch?v=fu6z35MzR_Y,,co-op,32,3,Joker,oxygen,Piggies,,0,
bo,five,no-power,,steam,https://youtube.com/watch?v=BOAK9-URNk0,,co-op,32,4,Corb,Joker,Piggies,oxygen,0,
bo2,town,bo2-no-jug,,steam,http://twitch.tv/videos/142984673,,solo,51,1,Joker,,,,0,
bo,five,50-speedrun,,steam,http://twitch.tv/videos/43082865,,co-op,3:54:30,2,Joker,oxygen,,,0,
bo2,bus-depot,50-speedrun,,steam,http://twitch.tv/videos/310745633,,co-op,4:34:01,2,AmneziaHardcover,Joker,,,0,
bo,nacht-der-untoten,50-speedrun,,steam,http://twitch.tv/videos/42288178,,co-op,6:27:40,2,oxygen,Joker,,,0,
