game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=Be0ogIjPsCk,,solo,1353,1,KADS ZOMBIES YT,,,,0,
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=BBILDomCH_4,,solo,250,1,KADS ZOMBIES YT,,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/1590487211,,solo,219,1,KADS ZOMBIES YT,,,,0,
bo,kino-der-toten,high-round,,steam,https://youtube.com/watch?v=hwUheyd_vFw,,co-op,142,2,KADS ZOMBIES YT,zDestroyer6438z,,,0,
bo,shi-no-numa,high-round,,steam,http://twitch.tv/videos/675277523,,solo,127,1,KADS ZOMBIES YT,,,,0,
bo3,moon,high-round,no-gobblegum,steam,http://twitch.tv/videos/750900262,,solo,112,1,KADS ZOMBIES YT,,,,0,
bo,kino-der-toten,high-round,,steam,https://youtube.com/watch?v=fvfa3U7r5Ag,,solo,103,1,KADS ZOMBIES YT,,,,0,
bo2,buried,high-round,,steam,https://youtube.com/watch?v=YiH1nnzh53k,,co-op,95,3,NoMoleMan,zDestroyer6438z,KADS ZOMBIES YT,,0,
bo2,tranzit,high-round,,steam,https://youtube.com/watch?v=kbZjwTq_dUU,,co-op,80,3,DestroyeR ZP,KADS ZOMBIES YT,Naciff,,0,
bo,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=iIcYADNwQUM,,co-op,80,2,Faysca,KADS ZOMBIES YT,,,0,
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=7AA3pM0xJYc,,co-op,76,3,KADS ZOMBIES YT,DestroyeR ZP,NoMoleMan,,0,
bo2,farm,high-round,,steam,https://youtube.com/watch?v=Kj84NBINsw0,,solo,67,1,KADS ZOMBIES YT,,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/588880776,,co-op,63,4,KADS ZOMBIES YT,NoMoleMan,Manulo,zDestroyer6438z,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/576635651,,co-op,56,3,KADS ZOMBIES YT,ImBruces,zDestroyer6438z,,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=-yp1kMYRD6o,,co-op,55,2,KADS ZOMBIES YT,Faysca,,,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=45MDlp8Iv_0,,co-op,54,3,KADS ZOMBIES YT,NoMoleMan,zDestroyer6438z,,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=TjeCEmFFuXk,,co-op,52,2,KADS ZOMBIES YT,FluxyBRx,,,0,
bo2,bus-depot,high-round,,steam,https://youtube.com/watch?v=ejeo6c9am5c,,solo,47,1,KADS ZOMBIES YT,,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/829992031,,co-op,46,3,KADS ZOMBIES YT,zDestroyer6438z,Bruno,,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=IzJs-Epfl9o,,co-op,45,2,KADS ZOMBIES YT,LeoZim,,,0,
bo,moon,high-round,,steam,https://youtube.com/watch?v=fyM26LO82pA,,solo,41,1,KADS ZOMBIES YT,,,,0,
bo,five,high-round,,steam,https://youtube.com/watch?v=2fgsXSUUqpc,,co-op,41,4,KADS ZOMBIES YT,NoMoleMan,Bruno,zDestroyer6438z,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/829997998,,co-op,40,4,KADS ZOMBIES YT,DestroyeR ZP,LStrindade,Henrique Martins,0,
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=NyqlQi_uDiM,,co-op,35,2,KADS ZOMBIES YT,Faysca,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=YA-U0lvT6pk,,co-op,30,2,KADS ZOMBIES YT,Iblue,,,0,
bo,shi-no-numa,flawless,,steam,http://twitch.tv/videos/647201350,,solo,70,1,KADS ZOMBIES YT,,,,0,
bo,verruckt,flawless,,steam,http://twitch.tv/videos/770842191,,solo,54,1,KADS ZOMBIES YT,,,,0,
waw,shi-no-numa,flawless,none,steam,http://twitch.tv/videos/546906428,,co-op,27,2,KADS ZOMBIES YT,LeoZim,,,0,
waw,verruckt,flawless,none,steam,https://youtube.com/watch?v=qOrrY9dI_WA,,co-op,10,4,KADS ZOMBIES YT,zDestroyer6438z,CharlieZombies,Iblue,0,
bo3,kino-der-toten,no-aat,classic-gobblegum-only,steam,https://youtube.com/watch?v=uS2UyqMNS2k,,solo,111,1,KADS ZOMBIES YT,,,,0,
bo3,ascension,no-aat,no-gobblegum,steam,http://twitch.tv/videos/729637707,,solo,104,1,KADS ZOMBIES YT,,,,0,
bo3,ascension,no-aat,classic-gobblegum-only,steam,http://twitch.tv/videos/725356678,,solo,100,1,KADS ZOMBIES YT,,,,0,
