game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=HyPYYZk_KzA,,solo,26:57,1,Keepers,,,,0,
bo3,kino-der-toten,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=5VNU8haLziM,,solo,27:09,1,Keepers,,,,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=YxaYxWoJZho,,solo,27:34,1,Keepers,,,,0,
bo3,shi-no-numa,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=3t82IyFQg14,,solo,27:45,1,Keepers,,,,0,
uem,minecraft-skyblock-survival,30-speedrun,,steam,http://twitch.tv/videos/2200641132,,co-op,32:05,2,Ald4r,Keepers,,,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2202627546,,co-op,32:26,2,Ald4r,Keepers,,,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2214440320,,co-op,35:59,3,Ald4r,AceOfSpades,Keepers,,0,
bo3,shadows-of-evil,100-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2217888327,,solo,3:17:04,1,Keepers,,,,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=lIeUBLVjc4U,,co-op,0:51,3,T5K,Keepers,cbrnn,,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=dU739bdW-5g,,co-op,0:51,4,T5K,cbrnn,Keepers,nikolaieu,0,
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=t-xo3BaPFDU,,co-op,0:54,4,T5K,Keepers,ethanvibin,cbrnn,0,
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=Yx4N0qv-tsY,,co-op,0:59,2,T5K,Keepers,,,0,
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=hpRiGqXqF0o,,co-op,0:59,3,T5K,Keepers,ethanvibin,,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=Vi81EWQFxt8,,solo,1:21,1,Keepers,,,,0,
bo2,tranzit,ee-speedrun,maxiss-side-with-bank,steam,http://twitch.tv/videos/1983271355,,co-op,6:26,4,Ald4r,Grape,AceOfSpades,Keepers,0,
bo2,mob-of-the-dead,ee-speedrun,,steam,https://youtube.com/watch?v=EzqdM6UbWZY,,solo,18:52.15,1,Keepers,,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2013740950,,solo,21:23,1,Keepers,,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=uqCtaQLOdgs,,solo,24:35,1,Keepers,,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2123675179,,solo,27:18,1,Keepers,,,,0,
community,always-running,com-song-speedrun,,steam,https://youtube.com/watch?v=C8-p30-rRsw,,solo,0:45,1,Keepers,,,,0,
community,snakeskin-boots,com-song-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=YkKzI-jxrok,,co-op,0:54,2,cbrnn,Keepers,,,0,
community,snakeskin-boots,com-song-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=iU5wyCdTYeQ,,solo,1:35,1,Keepers,,,,0,
