game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2508202022,,co-op,10:59,4,KillaSquad1,WhiteBoyPl4ys,CRUZA1,Michael130390,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2522541091,,solo,11:07,1,KillaSquad1,,,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,playstation,https://youtube.com/watch?v=bMwqyK7OcO8,,co-op,11:14,3,KillaSquad1,Josh,CRUZA1,,0,
bo6,terminus,30-speedrun,rampage-inducer-with-gobblegums,playstation,https://youtube.com/watch?v=CgX_p3Tu-uQ,,co-op,11:23,4,Sync,KillaSquad1,WhiteBoyPl4ys,Josh,0,
bo6,terminus,30-speedrun,rampage-inducer-with-gobblegums,playstation,https://youtube.com/watch?v=LF8jV9C6PQ8,,co-op,11:54,3,Sync,Josh,KillaSquad1,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,playstation,https://youtube.com/watch?v=FRfdKJt5LTM,,co-op,12:32,2,KillaSquad1,Josh,,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2492456014,,co-op,13:05,3,CRUZA1,KillaSquad1,Michael130390,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,playstation,https://youtube.com/watch?v=s0Mk9UTV3lY,,co-op,13:11,2,CRUZA1,KillaSquad1,,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,steam,https://youtube.com/watch?v=cORQ7GkXUFE,,co-op,14:50,2,AnthonyXGod,KillaSquad1,,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2360837582,,co-op,14:55,4,AnthonyXGod,CRUZA1,KillaSquad1,Michael130390,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-no-gobblegums,playstation,http://twitch.tv/videos/2495792610,,co-op,15:27,3,CRUZA1,KillaSquad1,Michael130390,,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-no-gobblegums,cross-play,https://youtube.com/watch?v=VgoR_wOsNts,,co-op,16:19,4,KillaSquad1,CRUZA1,Michael130390,Josh,0,
bo6,liberty-falls,30-speedrun,with-gobblegums,playstation,https://youtube.com/watch?v=mq_SD89SudE,,co-op,18:51,3,CRUZA1,KillaSquad1,Josh,,0,
bo6,liberty-falls,30-speedrun,with-gobblegums,playstation,https://youtube.com/watch?v=fn2bv4CAHzM,,co-op,19:06,4,CRUZA1,KillaSquad1,WhiteBoyPl4ys,Josh,0,
bo6,liberty-falls,30-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2502726517,,solo,19:35,1,KillaSquad1,,,,0,
bo6,liberty-falls,30-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=KKyT-vnxtlk,,co-op,20:21,3,AnthonyXGod,CRUZA1,KillaSquad1,,0,
bo6,liberty-falls,30-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2412682953,,co-op,20:28,2,CRUZA1,KillaSquad1,,,0,
bo6,liberty-falls,30-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2377052836,,co-op,20:49,3,CRUZA1,KillaSquad1,Michael130390,,0,
bo6,liberty-falls,30-speedrun,no-gobblegums,playstation,https://youtube.com/watch?v=2QPzNQmiiAQ,,co-op,22:18,4,KillaSquad1,Sync,Josh,WhiteBoyPl4ys,0,
bo6,liberty-falls,30-speedrun,no-gobblegums,playstation,https://youtube.com/watch?v=NcEdYxt8xhY,,co-op,22:20,4,CRUZA1,KillaSquad1,Josh,WhiteBoyPl4ys,0,
bo6,citadelle-des-morts,30-speedrun,rampage-inducer-with-gobblegums,playstation,https://youtube.com/watch?v=FvH4edqr27o,,co-op,22:47,2,CRUZA1,KillaSquad1,,,0,
bo6,liberty-falls,30-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2489661329,,co-op,22:54,3,KillaSquad1,CRUZA1,Michael130390,,0,
bo6,liberty-falls,30-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2458117214,,solo,23:16,1,KillaSquad1,,,,0,
bo6,the-tomb,30-speedrun,no-gobblegums,cross-play,https://youtube.com/watch?v=VqqZhrOEGEk,,co-op,24:40,4,KillaSquad1,Michael130390,Gardningtools,CRUZA1,0,
bo6,liberty-falls,30-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2486145170,,co-op,25:03,2,CRUZA1,KillaSquad1,,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2484193038,,solo,27:01,1,KillaSquad1,,,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2521459344,,co-op,28:07,3,KillaSquad1,CRUZA1,Josh,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2492456014,,co-op,33:04,3,CRUZA1,KillaSquad1,Michael130390,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2477202718,,co-op,33:28,2,CRUZA1,KillaSquad1,,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-with-gobblegums,steam,https://youtube.com/watch?v=cORQ7GkXUFE,,co-op,35:13,2,AnthonyXGod,KillaSquad1,,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2360837582,,co-op,36:47,4,AnthonyXGod,CRUZA1,KillaSquad1,Michael130390,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-no-gobblegums,playstation,http://twitch.tv/videos/2490561918,,co-op,38:53,3,KillaSquad1,CRUZA1,Michael130390,,0,
bo6,liberty-falls,50-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2501828750,,solo,39:20,1,KillaSquad1,,,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-no-gobblegums,cross-play,https://youtube.com/watch?v=VgoR_wOsNts,,co-op,39:39,4,KillaSquad1,CRUZA1,Michael130390,Josh,0,
bo6,liberty-falls,50-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=UDgGYUTrkD4,,co-op,40:22,3,CRUZA1,KillaSquad1,Josh,,0,
bo6,liberty-falls,50-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2482501363,,solo,42:22,1,KillaSquad1,,,,0,
bo6,liberty-falls,50-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=KKyT-vnxtlk,,co-op,42:58,3,CRUZA1,AnthonyXGod,KillaSquad1,,0,
bo6,liberty-falls,50-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2485241295,,co-op,43:22,2,CRUZA1,KillaSquad1,,,0,
bo6,terminus,50-speedrun,rampage-inducer-with-gobblegums,cross-play,http://twitch.tv/videos/2361677252,,co-op,43:51,3,KillaSquad1,AnthonyXGod,CRUZA1,,0,
bo6,liberty-falls,50-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2359903393,,co-op,48:10,4,CRUZA1,AnthonyXGod,KillaSquad1,Michael130390,0,
bo6,liberty-falls,50-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2489661329,,co-op,48:10,3,KillaSquad1,CRUZA1,Michael130390,,0,
bo6,liberty-falls,50-speedrun,no-gobblegums,playstation,https://youtube.com/watch?v=NcEdYxt8xhY,,co-op,50:34,4,CRUZA1,KillaSquad1,WhiteBoyPl4ys,Josh,0,
bo6,liberty-falls,50-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2478048345,,co-op,52:04,2,KillaSquad1,CRUZA1,,,0,
bo6,liberty-falls,50-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2350777636,,co-op,55:11,3,KillaSquad1,CRUZA1,Michael130390,,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-with-gobblegums,playstation,http://twitch.tv/videos/2492456014,,co-op,1:03:16,3,KillaSquad1,Michael130390,CRUZA1,,0,
bo6,liberty-falls,70-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=UDgGYUTrkD4,,co-op,1:10:37,3,CRUZA1,KillaSquad1,Josh,,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-no-gobblegums,playstation,http://twitch.tv/videos/2490561918,,co-op,1:13:09,3,KillaSquad1,CRUZA1,Michael130390,,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-no-gobblegums,cross-play,https://youtube.com/watch?v=VgoR_wOsNts,,co-op,1:15:17,4,KillaSquad1,CRUZA1,Michael130390,Josh,0,
bo6,liberty-falls,70-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2474704449,,co-op,1:19:24,2,KillaSquad1,CRUZA1,,,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2360837582,,co-op,1:22:45,4,AnthonyXGod,CRUZA1,KillaSquad1,Michael130390,0,
bo6,liberty-falls,70-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2359903393,,co-op,1:24:15,4,CRUZA1,KillaSquad1,AnthonyXGod,Michael130390,0,
bo6,liberty-falls,70-speedrun,no-gobblegums,playstation,https://youtube.com/watch?v=oCcoQHu3XC8,,co-op,1:25:30,4,CRUZA1,KillaSquad1,Josh,WhiteBoyPl4ys,0,
bo6,liberty-falls,70-speedrun,no-gobblegums,playstation,http://twitch.tv/videos/2489661329,,co-op,1:26:27,3,KillaSquad1,CRUZA1,Michael130390,,0,
bo6,liberty-falls,70-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2358109201,,co-op,1:33:46,3,CRUZA1,AnthonyXGod,KillaSquad1,,0,
bo6,liberty-falls,100-speedrun,with-gobblegums,playstation,http://twitch.tv/videos/2474706990,,co-op,2:23:18,2,KillaSquad1,CRUZA1,,,0,
bo6,liberty-falls,100-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2360837582,,co-op,2:35:58,4,AnthonyXGod,CRUZA1,KillaSquad1,Michael130390,0,
bo6,liberty-falls,exfil-speedrun,rampage-inducer-round-11,steam,http://twitch.tv/videos/2365344113,,co-op,3:27,4,AnthonyXGod,KillaSquad1,CRUZA1,Michael130390,0,
bo6,terminus,exfil-speedrun,rampage-inducer-round-11,playstation,https://youtube.com/watch?v=v6V0NCx3HOo,,co-op,3:30,4,KillaSquad1,Sync,Josh,WhiteBoyPl4ys,0,
bo6,shattered-veil,exfil-speedrun,rampage-inducer-round-11,playstation,https://youtube.com/watch?v=7rA3O44_x4s,,co-op,3:36,4,Sync,Josh,WhiteBoyPl4ys,KillaSquad1,0,
bo6,terminus,exfil-speedrun,rampage-inducer-round-11,playstation,https://youtube.com/watch?v=sNGUU1HZx_Y,,co-op,3:46,3,KillaSquad1,Josh,CRUZA1,,0,
bo6,liberty-falls,exfil-speedrun,rampage-inducer-round-11,playstation,http://twitch.tv/videos/2555928491,,solo,3:48,1,KillaSquad1,,,,0,
bo6,shattered-veil,exfil-speedrun,rampage-inducer-round-11,playstation,http://twitch.tv/videos/2516339953,,co-op,3:52,2,KillaSquad1,Josh,,,0,
bo6,shattered-veil,exfil-speedrun,rampage-inducer-round-11,playstation,http://twitch.tv/videos/2523999112,,solo,3:55,1,KillaSquad1,,,,0,
bo6,shattered-veil,exfil-speedrun,rampage-inducer-round-11,playstation,http://twitch.tv/videos/2516077641,,co-op,3:58,3,CRUZA1,KillaSquad1,Josh,,0,
bo6,liberty-falls,exfil-speedrun,rampage-inducer-round-11,playstation,https://youtube.com/watch?v=-Hj-8KoMMhs,,co-op,4:12,3,CRUZA1,KillaSquad1,Michael130390,,0,
bo6,liberty-falls,exfil-speedrun,rampage-inducer-round-11,playstation,http://twitch.tv/videos/2392811850,,co-op,4:13,2,CRUZA1,KillaSquad1,,,0,
bo6,the-tomb,exfil-speedrun,rampage-inducer-round-11,playstation,https://youtube.com/watch?v=8i9hFTyAeL0,,co-op,4:26,4,Sync,Josh,WhiteBoyPl4ys,KillaSquad1,0,
bo6,the-tomb,exfil-speedrun,rampage-inducer-round-11,playstation,https://youtube.com/watch?v=mxvBQKt_fYk,,co-op,4:43,3,KillaSquad1,Josh,CRUZA1,,0,
bo6,citadelle-des-morts,exfil-speedrun,rampage-inducer-round-11,playstation,http://twitch.tv/videos/2344576762,,co-op,4:47,2,CRUZA1,KillaSquad1,,,0,
bo6,shattered-veil,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2527650398,,co-op,5:08,2,KillaSquad1,CRUZA1,,,0,
bo6,liberty-falls,exfil-speedrun,round-11,playstation,https://youtube.com/watch?v=UjA6xFPkT94,,co-op,5:09,3,KillaSquad1,Josh,CRUZA1,,0,
bo6,liberty-falls,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2518182000,,co-op,5:14,2,KillaSquad1,Josh,,,0,
bo6,shattered-veil,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2518539378,,co-op,5:20,2,KillaSquad1,Josh,,,0,
bo6,liberty-falls,exfil-speedrun,round-11,steam,http://twitch.tv/videos/2365303749,,co-op,5:24,4,AnthonyXGod,KillaSquad1,CRUZA1,Michael130390,0,
bo6,liberty-falls,exfil-speedrun,round-11,steam,http://twitch.tv/videos/2365465157,,co-op,5:28,2,AnthonyXGod,KillaSquad1,,,0,
bo6,liberty-falls,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2523952479,,solo,5:34,1,KillaSquad1,,,,0,
bo6,terminus,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2510950496,,co-op,5:35,4,WhiteBoyPl4ys,KillaSquad1,Sync,Josh,0,
bo6,shattered-veil,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2516047087,,co-op,5:40,3,Josh,CRUZA1,KillaSquad1,,0,
bo6,the-tomb,exfil-speedrun,round-11,playstation,https://youtube.com/watch?v=PkhhiayCbF4,,co-op,6:13,3,CRUZA1,KillaSquad1,Josh,,0,
bo6,shattered-veil,exfil-speedrun,round-11,playstation,https://youtube.com/watch?v=kImBWLgt8BE,,co-op,6:22,4,Josh,CRUZA1,Michael130390,KillaSquad1,0,
bo6,liberty-falls,exfil-speedrun,round-11,playstation,http://twitch.tv/videos/2359769789,,co-op,6:29,3,CRUZA1,KillaSquad1,Michael130390,,0,
