game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,no-gobblegum,xbox,http://twitch.tv/videos/2120335976,,solo,101,1,King KushZz,,,,0,
bo3,der-eisendrache,high-round,no-gobblegum,xbox,http://twitch.tv/videos/474934632,,solo,101,1,King KushZz,,,,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/450930181,,solo,83,1,King KushZz,,,,0,
bo3,zetsubou-no-shima,high-round,no-gobblegum,xbox,http://twitch.tv/videos/471710058,,solo,67,1,King KushZz,,,,0,
bo3,origins,high-round,no-gobblegum,xbox,http://twitch.tv/videos/446920427,,solo,65,1,King KushZz,,,,0,
bo4,dead-of-the-night,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/449824799,,solo,62,1,King KushZz,,,,0,
bo4,dead-of-the-night-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/468448016,,solo,109,1,King KushZz,,,,0,
bo4,dead-of-the-night-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/439499420,,solo,90,1,King KushZz,,,,0,
bo4,ancient-evil-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/426746810,,solo,77,1,King KushZz,,,,0,
bo4,ancient-evil-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/452211749,,solo,73,1,King KushZz,,,,0,
bo4,ix-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/429308416,,solo,61,1,King KushZz,,,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/425775496,,solo,54,1,King KushZz,,,,0,
bo4,ix-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/430361452,,co-op,50,2,King KushZz,DJ TIDY 115 935,,,0,
bo4,alpha-omega-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/456550740,,co-op,45,2,King KushZz,DJ TIDY 115 935,,,0,
bo4,ix,no-power,no-elixirs,xbox,http://twitch.tv/videos/442378955,,solo,70,1,King KushZz,,,,0,
bo4,ix,no-power,all-elixirs-talismans,xbox,http://twitch.tv/videos/438662255,,solo,60,1,King KushZz,,,,0,
bo4,ix,no-power,no-elixirs-hardcore,xbox,http://twitch.tv/videos/469916493,,solo,53,1,King KushZz,,,,0,
bo4,voyage-of-despair,no-power,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/480448313,,solo,40,1,King KushZz,,,,0,
bo3,revelations,no-jug,no-gobblegum,xbox,http://twitch.tv/videos/440329831,,solo,85,1,King KushZz,,,,0,
bo4,classified,30-speedrun,all-elixirs-talismans,xbox,http://twitch.tv/videos/427154843,,co-op,48:49,3,King KushZz,Dauntless EliT3,DJ TIDY 115 935,,0,
bo4,blood-of-the-dead,50-speedrun,all-elixirs-talismans,xbox,http://twitch.tv/videos/430136511,,co-op,1:35:31,2,King KushZz,DJ TIDY 115 935,,,0,
