game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,gorod-krovi,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=S9ihbuQvVVY,,solo,83,1,KingKorbs,,,,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=MJ2QN12B1gY,,co-op,57,3,KingKorbs,xTheCena,JP_BaCorns,,0,
bo3,zetsubou-no-shima,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Axqz39qybpM,,co-op,37,4,KingKorbs,Obiii94,Nasty-iVx,Denish19,0,
bo3,zetsubou-no-shima,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=E3cny3G549o,,co-op,46:37,2,mashmanos,KingKorbs,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=VBoAPUm4s9Y,,co-op,18:15,4,KingKorbs,xTheCena,Nasty-iVx,Maitrash,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=pM2N5pywKlU,,co-op,20:40,3,KingKorbs,xTheCena,Nasty-iVx,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=QgQb-GXBk38,,co-op,21:23,4,KingKorbs,xTheCena,JP_BaCorns,Nasty-iVx,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=NhPfs_c6D6I,,co-op,22:46,2,KingKorbs,xTheCena,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=NOrswpNHPIg,,co-op,24:34,3,mashmanos,KingKorbs,Sott91,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=zEGFKzSVgdo,,co-op,26:11,3,mashmanos,BARTLE__,KingKorbs,,0,
bo3,revelations,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=QYwneUP8JQI,,co-op,26:26,4,KingKorbs,xTheCena,Nasty-iVx,Maitrash,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=R5fxBzPoEyM,,co-op,26:31,2,KingKorbs,xTheCena,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=5feO_shsVBs,,co-op,26:49,2,KingKorbs,xTheCena,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=dEH2BP0jQeA,,co-op,27:23,3,KingKorbs,xTheCena,Nasty-iVx,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=xbebBNU19eQ,,co-op,28:06,3,mashmanos,jaydizzle1981,KingKorbs,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=esCZ6paGvDs,,co-op,28:34,2,mashmanos,KingKorbs,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=Phns96TJqdI,,solo,29:09,1,KingKorbs,,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=_bd0dGRGeaA,,solo,29:17,1,KingKorbs,,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=Inc1rEtN0hI,,co-op,29:21,3,KingKorbs,xTheCena,Obiii94,,0,
bo3,zetsubou-no-shima,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=mgpFTQlhEQQ,,co-op,29:49,2,KingKorbs,xTheCena,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=0ludZzx_kDs,,co-op,30:21,2,KingKorbs,xTheCena,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=gYrQ5NvQKrg,,co-op,31:25,4,KingKorbs,xTheCena,Nasty-iVx,BARTLE__,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=HuTJsE3GsMg,,co-op,32:03,3,KingKorbs,xTheCena,JP_BaCorns,,0,
bo3,zetsubou-no-shima,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=8tXrFiU5UjU,,solo,33:05,1,KingKorbs,,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=TOMqu_D-EH8,,solo,33:36,1,KingKorbs,,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=gGU65SxQu0s,,co-op,33:41,4,KingKorbs,xTheCena,i_MoxXis,Obiii94,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=Fo5sU0rIsAo,,co-op,33:53,3,KingKorbs,xTheCena,Maitrash,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=kBLkowHOXFY,,co-op,34:01,4,BARTLE__,mashmanos,KingKorbs,xTheCena,0,
bo3,revelations,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=WjVxPkrNe20,,co-op,34:09,4,KingKorbs,xTheCena,JP_BaCorns,Nasty-iVx,0,
bo3,der-eisendrache,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=yBf4ykRDM5c,,co-op,35:09,2,KingKorbs,xTheCena,,,0,
bo3,shadows-of-evil,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=fllvvf5JOM0,,co-op,35:13,2,KingKorbs,xTheCena,,,0,
bo3,revelations,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=YRqZTtSfYlI,,co-op,35:40,3,KingKorbs,xTheCena,Nasty-iVx,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=HXejtC32osA,,co-op,35:47,2,KingKorbs,xTheCena,,,0,
bo3,shadows-of-evil,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Yma0lVHoPxM,,co-op,37:11,3,KingKorbs,xTheCena,Obiii94,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=eC_BXzqdrvg,,co-op,37:24,4,KingKorbs,xTheCena,JP_BaCorns,i_MoxXis,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=YWntmJWgTcE,,co-op,38:59,4,mashmanos,KingKorbs,xTheCena,JP_BaCorns,0,
bo3,shadows-of-evil,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Fh7Pwn6AHtY,,solo,39:37,1,KingKorbs,,,,0,
bo3,shadows-of-evil,ee-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=dGm2Eynz-B4,,solo,40:17,1,KingKorbs,,,,0,
bo3,revelations,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=iSm_DW6Wa0o,,solo,40:23,1,KingKorbs,,,,0,
bo3,gorod-krovi,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=K5ept2B8tcE,,co-op,40:49,4,mashmanos,KingKorbs,xTheCena,JP_BaCorns,0,
bo3,shadows-of-evil,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=BIZTvyJGOzc,,co-op,41:53,4,KingKorbs,xTheCena,Obiii94,BARTLE__,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=VV5qnyLYRKY,,solo,42:03,1,KingKorbs,,,,0,
bo3,gorod-krovi,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=qPBiYqrOoEw,,co-op,43:25,2,KingKorbs,xTheCena,,,0,
bo3,revelations,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=gD_AY1eYGgw,,co-op,43:41,2,KingKorbs,JP_BaCorns,,,0,
bo3,gorod-krovi,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=TIhjea000hg,,co-op,44:16,3,KingKorbs,xTheCena,JP_BaCorns,,0,
bo3,gorod-krovi,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=0arW0sase-k,,solo,45:46,1,KingKorbs,,,,0,
bo3,gorod-krovi,ee-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=CwSpTPKlbUw,,solo,46:49,1,KingKorbs,,,,0,
bo3,revelations,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Fs2YZSJqktw,,co-op,48:10,2,KingKorbs,xTheCena,,,0,
