game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,zetsubou-no-shima,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/657273518,,co-op,71,2,Kryptic Or1g1n,Kryptic Jay,,,0,
bo3,zetsubou-no-shima,high-round,no-gobblegum,xbox,http://twitch.tv/videos/683435677,,co-op,70,2,Kryptic Or1g1n,Kryptic Jay,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/630544211,,co-op,59,2,Kryptic Jay,Kryptic Or1g1n,,,0,
bo3,zetsubou-no-shima,flawless,classic-gobblegum-only,xbox,http://twitch.tv/videos/657273518,,co-op,71,2,Kryptic Or1g1n,Kryptic Jay,,,0,
bo3,zetsubou-no-shima,flawless,no-gobblegum,xbox,http://twitch.tv/videos/683435677,,co-op,69,2,Kryptic Or1g1n,Kryptic Jay,,,0,
bo3,nacht-der-untoten,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/630544211,,co-op,59,2,Kryptic Or1g1n,Kryptic Jay,,,0,
bo3,gorod-krovi,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/626629731,,co-op,52,2,Kryptic Or1g1n,Kryptic Jay,,,0,
bo3,shi-no-numa,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/639085295,,co-op,51,2,Kryptic Or1g1n,Krytic Jay,,,0,
bo3,shi-no-numa,flawless,no-gobblegum,xbox,http://twitch.tv/videos/639084845,,co-op,40,2,Kryptic Or1g1n,Kryptic Jay,,,0,
iw,rave-in-the-redwoods,iw-no-perks,fate-fortune-cards,xbox,http://twitch.tv/videos/668765389,,solo,44,1,Kryptic Or1g1n,,,,0,
iw,rave-in-the-redwoods,iw-no-perks,fate-cards-only,xbox,http://twitch.tv/videos/637403537,,solo,37,1,Kryptic Or1g1n,,,,0,
iw,spaceland,iw-no-perks,fate-fortune-cards,xbox,http://twitch.tv/videos/662875193,,solo,35,1,Kryptic Or1g1n,,,,0,
iw,spaceland,iw-no-perks,fate-cards-only,xbox,http://twitch.tv/videos/643049567,,solo,33,1,Kryptic Or1g1n,,,,0,
iw,shaolin-shuffle,iw-no-perks,none,xbox,http://twitch.tv/videos/638035023,,solo,23,1,Kryptic Or1g1n,,,,0,
iw,attack-of-the-radioactive-thing,iw-no-perks,fate-cards-only,xbox,http://twitch.tv/videos/638035673,,solo,18,1,Kryptic Or1g1n,,,,0,
iw,the-rat-king,iw-boss-speedrun,,xbox,https://youtube.com/watch?v=8H_OEJeQWCI,,co-op,5:03,2,Kryptic Or1g1n,Kryptic Jay,,,0,
iw,the-rat-king,iw-boss-speedrun,,xbox,http://twitch.tv/videos/629403007,,solo,5:23,1,Kryptic Or1g1n,,,,0,
iw,crog-zilla,iw-boss-speedrun,,xbox,http://twitch.tv/videos/629440737,,solo,5:39,1,Kryptic Or1g1n,,,,0,
iw,crog-zilla,iw-boss-speedrun,,xbox,http://twitch.tv/videos/629614290,,co-op,6:01,2,Kryptic Or1g1n,Kryptic Jay,,,0,
iw,super-slasher,iw-boss-speedrun,,xbox,http://twitch.tv/videos/629615789,,co-op,14:06,2,Kryptic Jay,Kryptic Or1g1n,,,0,
bo4,voyage-of-despair,points-rush,classic-elixirs-only,xbox,http://twitch.tv/videos/681227763,,solo,6815220,1,Kryptic Or1g1n,,,,0,
bo4,voyage-of-despair,points-rush,no-elixirs,xbox,http://twitch.tv/videos/684423700,,solo,4406680,1,Kryptic Or1g1n,,,,0,
