game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,no-gobblegums-with-support,steam,https://youtube.com/watch?v=yNmsog3_cJs,,solo,999,1,Kyl3,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=IsiHZmEr-Pw,,solo,255,1,Kyl3,,,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=Mqr37KrwyK4,,solo,255,1,Kyl3,,,,0,
bo6,liberty-falls,high-round,no-gobblegums-no-support,cross-play,https://youtube.com/watch?v=XyvKsDmtE2g,,co-op,161,3,Genn,Kyl3,Thursday,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=lFeG62Fj6Fs,,solo,71,1,Kyl3,,,,0,
bocw,outbreak,high-round,casual,cross-play,https://youtube.com/watch?v=wVyrmvw3iKE,,co-op,40,2,Kyl3,TheAudacityYT,,,0,
bo6,liberty-falls,flawless,no-gobblegums-with-support,steam,https://youtube.com/watch?v=yNmsog3_cJs,,solo,999,1,Kyl3,,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=IsiHZmEr-Pw,,solo,255,1,Kyl3,,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=Mqr37KrwyK4,,solo,201,1,Kyl3,,,,0,
bo6,liberty-falls,flawless,no-gobblegums-no-support,cross-play,https://youtube.com/watch?v=XyvKsDmtE2g,,co-op,161,3,Genn,Kyl3,Thursday,,0,
bo3,revelations,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=Mqr37KrwyK4,,solo,255,1,Kyl3,,,,0,
bo3,nacht-der-untoten,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=lFeG62Fj6Fs,,solo,71,1,Kyl3,,,,0,
bo3,revelations,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=Mqr37KrwyK4,,solo,38:15,1,Kyl3,,,,0,
bo3,nacht-der-untoten,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=IrygC5cpxAI,,solo,42:50,1,Kyl3,,,,0,
bo3,revelations,50-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=HPoH7wYG5EM,,solo,1:07:16,1,Kyl3,,,,0,
bo3,nacht-der-untoten,50-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=IrygC5cpxAI,,solo,1:45:09,1,Kyl3,,,,0,
bo3,revelations,70-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=HPoH7wYG5EM,,solo,1:43:01,1,Kyl3,,,,0,
bo3,nacht-der-untoten,70-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=lFeG62Fj6Fs,,solo,3:40:52,1,Kyl3,,,,0,
bo6,liberty-falls,100-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=XyvKsDmtE2g,,co-op,2:48:55,3,Genn,Kyl3,Thursday,,0,
bo3,revelations,100-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=HPoH7wYG5EM,,solo,3:14:03,1,Kyl3,,,,0,
bo3,revelations,255-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=Mqr37KrwyK4,,solo,36:02:54,1,Kyl3,,,,0,
bo3,shadows-of-evil,255-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=IsiHZmEr-Pw,,solo,36:41:12,1,Kyl3,,,,0,
