game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,citadelle-des-morts,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=-zp1U-51-SE,,co-op,222,3,CTP,LASTOFRAREBREED,Miled,,0,
bo6,shattered-veil,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=5Ef102jfsCs,,co-op,151,4,CTP,LASTOFRAREBREED,Miled,Harshit,0,
bo6,liberty-falls,high-round,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=5OTbX7Yqcg4,,solo,103,1,LASTOFRAREBREED,,,,0,
bo6,liberty-falls,high-round,no-gobblegums-with-support,cross-play,https://youtube.com/watch?v=Y9nBbSsCfOU,,co-op,101,3,CTP,DKZ,LASTOFRAREBREED,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=QncIFNCw6Vc,,solo,541,1,LASTOFRAREBREED,,,,0,
bo6,citadelle-des-morts,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=-zp1U-51-SE,,co-op,121,3,CTP,Miled,LASTOFRAREBREED,,0,
bo6,liberty-falls,flawless,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=5OTbX7Yqcg4,,solo,103,1,LASTOFRAREBREED,,,,0,
bo6,liberty-falls,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=_YJe5iMMmps,,solo,60,1,LASTOFRAREBREED,,,,0,
bo6,terminus,first-room,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=PaprtjM1DKY,,solo,34,1,LASTOFRAREBREED,,,,0,
bo6,liberty-falls,no-perks,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=6eRAympep6M,,solo,55,1,LASTOFRAREBREED,,,,0,
bo6,liberty-falls,no-perks,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=B8dpcZnkeUw,,solo,36,1,LASTOFRAREBREED,,,,0,
bo6,terminus,no-perks,with-gobblegums-no-support,playstation,https://youtube.com/watch?v=l0yxfCE05ww,,solo,35,1,LASTOFRAREBREED,,,,0,
bo6,liberty-falls,no-jug,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=mV5aUbAB1Mo,,solo,70,1,LASTOFRAREBREED,,,,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-no-gobblegums,cross-play,http://twitch.tv/videos/2304516502,,co-op,1:05:26,3,CTP,DKZ,LASTOFRAREBREED,,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-no-gobblegums,cross-play,http://twitch.tv/videos/2304512576,,co-op,1:50:48,3,CTP,DKZ,LASTOFRAREBREED,,0,
bo6,liberty-falls,100-speedrun,rampage-inducer-no-gobblegums,cross-play,http://twitch.tv/videos/2304510790,,co-op,3:22:32,3,CTP,DKZ,LASTOFRAREBREED,,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,playstation,https://youtube.com/watch?v=HmsIahwg9tc,,co-op,23:47,4,LASTOFRAREBREED,REINCARNATED,beaker1978,BlueDogGaming,0,
bo6,liberty-falls,build-speedrun,with-gobblegums,playstation,https://youtube.com/watch?v=jYygwB0Angs,,co-op,23:47,3,LASTOFRAREBREED,REINCARNATED,devilmax_10,,0,
bo6,liberty-falls,build-speedrun,with-gobblegums,playstation,https://youtube.com/watch?v=HmsIahwg9tc,,co-op,24:16,4,LASTOFRAREBREED,beaker1978,REINCARNATED,BlueDogGaming,0,
community,liberty-falls,melee,,playstation,https://youtube.com/watch?v=3RY-RGIs27s,,solo,66,1,LASTOFRAREBREED,,,,0,
