game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,blood-of-the-dead-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=7JAikMg_cmw,,co-op,58,4,ZKL_Momo,ZKL_allstargamer,LTK_Momo_115,TzL_Zombiosaure,0,
bo3,moon,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=SDP3s03yzzc,,co-op,50,2,ZKL_Momo,LTK_Momo_115,,,0,
bo3,ascension,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=AL9XvrriVeM,,solo,89,1,LTK_Momo_115,,,,0,
bo3,kino-der-toten,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=sMjFynB_keY,,solo,80,1,LTK_Momo_115,,,,0,
bo3,moon,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=M62K-nbod_4,,solo,74,1,LTK_Momo_115,,,,0,
bo3,origins,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=5zhZ69LW2i0,,solo,37,1,LTK_Momo_115,,,,0,
bo3,ascension,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=JzvmTkhnBbM,,solo,77,1,LTK_Momo_115,,,,0,
bo4,ix,no-power,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=WhkTVoLTXtc,,co-op,40,3,ZKL_Momo,ZKL_allstargamer,LTK_Momo_115,,0,
bo3,nacht-der-untoten,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=UHH1nqOIKjU,,solo,60,1,LTK_Momo_115,,,,0,
bo3,shi-no-numa,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=bGSFZpCYDhI,,solo,49,1,LTK_Momo_115,,,,0,
bo3,kino-der-toten,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=aSbdPv5bM4A,,solo,39,1,LTK_Momo_115,,,,0,
