game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2459907330,,solo,225,1,Lazified,,,,0,
bocw,firebase-z,high-round,with-support,playstation,https://youtube.com/watch?v=OQKwSlDkwFM,,solo,127,1,Lazified,,,,0,
bo6,shattered-veil,high-round,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2441335629,,solo,108,1,Lazified,,,,0,
bo6,citadelle-des-morts,high-round,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2441309757,,solo,101,1,Lazified,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=mJR-pbp40kU,,solo,62,1,Lazified,,,,0,
bo6,the-tomb,flawless,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2409911058,,solo,119,1,Lazified,,,,0,
bo3,ascension,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=oVtNgR5-Ab4,,solo,106,1,Lazified,,,,0,
bo6,liberty-falls,flawless,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2409979349,,solo,82,1,Lazified,,,,0,
bocw,firebase-z,flawless,with-support,playstation,https://youtube.com/watch?v=mG18e747wvc,,solo,73,1,Lazified,,,,0,
bocw,forsaken,flawless,with-support,steam,https://youtube.com/watch?v=JKFpWO-QoIs,,solo,54,1,Lazified,,,,0,
