game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
custom,mcdonalds-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=YIZC_tkmoec,,co-op,52,2,LeCoachEnStream,Flimaxx,,,0,
custom,mori-rebirth-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=EDF3ynS2y6E,,co-op,34,2,LeCoachEnStream,Flimaxx,,,0,
custom,rainy-death-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=-EP59Uiq5YA,,co-op,32,2,LeCoachEnStream,Flimaxx,,,0,
custom,five-nights-at-freddys-3-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=Sb5e4KNsd_Y,,co-op,32,2,LeCoachEnStream,Flimaxx,,,0,
custom,astoria-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=eB3qDxOb9Iw,,co-op,28,2,LeCoachEnStream,Flimaxx,,,0,
custom,the-last-unity-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=thS4jgCCaEU,,co-op,26,2,LeCoachEnStream,Flimaxx,,,0,
custom,mori-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=OrX3_ASfn00,,co-op,26,2,LeCoachEnStream,Flimaxx,,,0,
custom,europa-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=4847kPjb5Zk,,co-op,25,2,LeCoachEnStream,Flimaxx,,,0,
custom,diner-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=hp8fWkUDvYU,,co-op,22,2,LeCoachEnStream,Flimaxx,,,0,
custom,extinct-the-last-compound-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=tPDtAKZlNFI,,co-op,22,2,LeCoachEnStream,Flimaxx,,,0,
custom,1938-full-circle-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=xgrUdoVv9sA,,co-op,22,2,LeCoachEnStream,Flimaxx,,,0,
custom,shisha-no-teikou-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=j4Or_-gfqOE,,co-op,21,2,LeCoachEnStream,Flimaxx,,,0,
custom,les-cendres-du-mal-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=0M3oHPz2Oco,,co-op,21,2,LeCoachEnStream,Flimaxx,,,0,
custom,void-expanse-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=lvILLLTQLI8,,co-op,20,2,LeCoachEnStream,Flimaxx,,,0,
custom,return-to-das-herrenhaus-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=U4ZwctAix-k,,co-op,20,2,LeCoachEnStream,Flimaxx,,,0,
custom,call-of-the-dead-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=tjTXdmMF0gU,,co-op,19,2,LeCoachEnStream,Flimaxx,,,0,
custom,westland-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=MAlgCUPrDDs,,co-op,19,2,LeCoachEnStream,Flimaxx,,,0,
custom,evil-christmas-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=YhqaSPyUWgE,,co-op,19,2,LeCoachEnStream,Flimaxx,,,0,
custom,wanted-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=36OJ8FZKcAI,,co-op,18,2,LeCoachEnStream,Flimaxx,,,0,
custom,der-riese-declassified-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=LeS-7FMttI0,,co-op,16,2,LeCoachEnStream,Flimaxx,,,0,
custom,kowloon-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ejoYmGhbYbE,,co-op,16,2,LeCoachEnStream,Flimaxx,,,0,
custom,leviathan-remastered-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=KUiJdLy1Twk,,co-op,13,2,LeCoachEnStream,Flimaxx,,,0,
custom,the-iron-dragon-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=TUTBT1ysBeQ,,co-op,12,2,LeCoachEnStream,Flimaxx,,,0,
custom,nacht-der-agonie-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=jK6yOfqKj_Q,,co-op,12,2,LeCoachEnStream,Flimaxx,,,0,
custom,kyassuru-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=DNYBW_wampY,,co-op,11,2,LeCoachEnStream,Flimaxx,,,0,
