game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,firebase-z,high-round,with-support,steam,https://youtube.com/watch?v=JPMtu40uBqI,,co-op,51,3,LeoZim,BrunoCazuza,Colombo,,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=IzJs-Epfl9o,,co-op,45,2,KADS ZOMBIES YT,LeoZim,,,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=85YzLpTQTzc,,co-op,36,3,EsseCara,LeoZim,Kilerhg,,0,
waw,shi-no-numa,flawless,none,steam,http://twitch.tv/videos/546906428,,co-op,27,2,KADS ZOMBIES YT,LeoZim,,,0,
waw,shi-no-numa,flawless,none,steam,https://youtube.com/watch?v=85YzLpTQTzc,,co-op,17,3,LeoZim,Kilerhg,EsseCara,,0,
bo3,kino-der-toten,no-perks,classic-gobblegum-only,steam,https://youtube.com/watch?v=bLOndnOPzNQ,,solo,47,1,LeoZim,,,,0,
bo3,kino-der-toten,no-perks,no-gobblegum,steam,https://youtube.com/watch?v=CxsVMb5iL3g,,solo,29,1,LeoZim,,,,0,
bo3,nacht-der-untoten,no-perks,classic-gobblegum-only,steam,https://youtube.com/watch?v=-J4EpG3z-YU,,solo,19,1,LeoZim,,,,0,
bo6,terminus,30-speedrun,with-gobblegums,steam,http://twitch.tv/videos/2304030682,,co-op,01:03:12,2,LeoZim,Agent7,,,0,
community,forsaken,com-second-room,,steam,https://youtube.com/watch?v=wuMMnuaVAXE,,co-op,32,2,LeoZim,Jota,,,0,
