game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,tranzit,first-room,,steam,https://youtube.com/watch?v=po09WDZOumk,,co-op,29,4,benniiZ,n6dz,Leoz,Martin,0,
bo2,tranzit,no-power,,steam,http://twitch.tv/videos/2269404626,,co-op,41,4,ph.sz4,Leoz,Sagazin_,Altzx,0,
bo2,town,bo2-no-jug,,steam,https://youtube.com/watch?v=MiQF3s7RP0U,,co-op,71,2,Joaodalive94,Leoz,,,0,
bo2,town,30-speedrun,,steam,https://youtube.com/watch?v=ey5FV_kj1mc,,co-op,1:19:07,4,BrokenHead115,Leozxnn,Leoz,ParsifalPT,0,
bo2,town,50-speedrun,,steam,https://youtube.com/watch?v=zH30woIoCf4,,co-op,9:58:23,4,zFir,Leoz,Joaodalive94,Altzx,0,
bo2,town,70-speedrun,,steam,https://youtube.com/watch?v=MiQF3s7RP0U,,co-op,18:04:20,2,Joaodalive94,Leoz,,,0,
community,mob-of-the-dead,com-uzi,,steam,https://youtube.com/watch?v=x0tms--jAEA,,co-op,26,3,benniiZ,Leoz,iamxan,,0,
community,mob-of-the-dead,com-uzi,,steam,https://youtube.com/watch?v=IUJw9tp_dwM,,co-op,24,4,benniiZ,Leoz,Whos_Imi,iamxan,0,
community,town,com-mp5,,steam,https://youtube.com/watch?v=a_znCaxe_c8,,co-op,32,2,benniiZ,Leoz,,,0,
community,die-rise,com-mp5,,steam,https://youtube.com/watch?v=p_68jkhx4fA,,co-op,27,4,Whos_Imi,benniiZ,diamanten,Leoz,0,
community,town,com-mp5,,steam,https://youtube.com/watch?v=JCBWD9axHCQ,,co-op,26,4,benniiZ,BobbyJtheGooN,n6dz,Leoz,0,
