game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=21JITHB8xOM,,co-op,44,4,Tacos,Loganclam,ToastedCak,deadjalapeno,0,
bo3,zetsubou-no-shima,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=50VOWk09Luw,,co-op,50,2,Tacos,Loganclam,,,0,
bo3,gorod-krovi,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=LnyugxbaGRQ,,co-op,44,2,Tacos,Loganclam,,,0,
bo3,shadows-of-evil,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=P429GB1nACc,,co-op,34,4,Tacos,ToastedCak,Loganclam,RA_INFADEL,0,
bo3,shi-no-numa,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=dtbtfXnMQ6c,,co-op,32,2,Tacos,Loganclam,,,0,
bo3,revelations,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=Vuk6URvzvek,,co-op,21,3,Tacos,ToastedCak,Loganclam,,0,
bo3,zetsubou-no-shima,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=zssnQ7DRQZM,,solo,16,1,Loganclam,,,,0,
bo3,verruckt,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=OHfjvVZoAUg,,co-op,38:57,3,Tacos,ToastedCak,Loganclam,,0,
bo3,revelations,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=QGtNGMXsNsk,,co-op,45:39,4,Kempy,Tacos,Loganclam,ToastedCak,0,
bo3,revelations,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=JS-OkIdlB1g,,co-op,50:44,3,Tacos,Loganclam,ToastedCak,,0,
bo3,shadows-of-evil,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=RZGLn69BDfo,,co-op,53:41,3,Tacos,ToastedCak,Loganclam,,0,
bo3,origins,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=m_Ej5VONrn4,,co-op,57:01,4,Tacos,ToastedCak,Loganclam,Kirby_Zurby_,0,
bo3,nacht-der-untoten,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=HrUtHUOv8EQ,,co-op,1:11:26,3,Tacos,ToastedCak,Loganclam,,0,
bo3,revelations,70-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=yKZ2Sw_vaG4,,co-op,2:23:40,2,Tacos,Loganclam,,,0,
bo3,revelations,100-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=yKZ2Sw_vaG4,,co-op,5:26:07,2,Tacos,Loganclam,,,0,
bo3,shadows-of-evil,ee-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=8klK3_pPqa8,,co-op,39:56,2,Tacos,Loganclam,,,0,
bo3,origins,ee-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=wBBrxwJMNQA,,co-op,42:24,3,Tacos,ToastedCak,Loganclam,,0,
bo3,shadows-of-evil,ee-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=fnG65TPOXOE,,co-op,48:49,3,Tacos,ToastedCak,Loganclam,,0,
