game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=PtbjbOCL90I,,co-op,55,3,DrewDripper,Emka,Looe,,0,
custom,kowloon-waw-bo1,custom-no-power,,steam,https://youtube.com/watch?v=Zk2HVSa95TA,,solo,33,1,Looe,,,,0,
bo,call-of-the-dead,no-perks,,steam,https://youtube.com/watch?v=INDjnkbWljQ,,co-op,42,2,Looe,Emka,,,0,
bo,five,no-perks,,steam,https://youtube.com/watch?v=qPyZL8U8SNE,,co-op,41,2,Looe,Emka,,,0,
bo,shi-no-numa,no-perks,,steam,https://youtube.com/watch?v=VXeOoKiv5ls,,solo,29,1,Looe,,,,0,
bo,verruckt,no-jug,,steam,https://youtube.com/watch?v=JXYr38c0TQc,,co-op,42,2,Looe,Emka,,,0,
bo,shi-no-numa,no-jug,,steam,https://youtube.com/watch?v=H1zw8mPIJog,,co-op,42,2,Looe,Emka,,,0,
bo,five,no-jug,,steam,https://youtube.com/watch?v=mK9rcM2lpUA,,co-op,39,2,Looe,Emka,,,0,
community,shi-no-numa-bo1,com-second-room,,steam,https://youtube.com/watch?v=3LYubRxECFg,,co-op,35,2,Emka,Looe,,,0,
community,der-riese,com-remix-hr,,steam,https://youtube.com/watch?v=ydPA3MDGB-I,,solo,60,1,Looe,,,,0,
community,kino-der-toten,com-remix-hr,,steam,https://youtube.com/watch?v=11y1pf-9bOA,,co-op,55,2,Looe,Takeo829,,,0,
community,five,com-remix-hr,,steam,https://youtube.com/watch?v=2i2n3TvTpLQ,,solo,51,1,Looe,,,,0,
community,shi-no-numa,com-remix-hr,,steam,https://youtube.com/watch?v=0SDbeWb2j0E,,solo,50,1,Looe,,,,0,
community,nacht-der-untoten,com-remix-hr,,steam,https://youtube.com/watch?v=bePCr4ijL_Y,,co-op,30,2,Looe,Takeo829,,,0,
community,five,com-remix-30-speedrun,,steam,https://youtube.com/watch?v=2i2n3TvTpLQ,,solo,32:54,1,Looe,,,,0,
community,der-riese,com-remix-30-speedrun,,steam,https://youtube.com/watch?v=ydPA3MDGB-I,,solo,35:25,1,Looe,,,,0,
community,nacht-der-untoten,com-remix-30-speedrun,,steam,https://youtube.com/watch?v=bePCr4ijL_Y,,co-op,53:10,2,Looe,Takeo829,,,0,
community,five,com-remix-50-speedrun,,steam,https://youtube.com/watch?v=2i2n3TvTpLQ,,solo,1:18:58,1,Looe,,,,0,
community,der-riese,com-remix-50-speedrun,,steam,https://youtube.com/watch?v=ydPA3MDGB-I,,solo,1:26:46,1,Looe,,,,0,
community,shi-no-numa,com-remix-50-speedrun,,steam,https://youtube.com/watch?v=0SDbeWb2j0E,,solo,1:43:58,1,Looe,,,,0,
community,kino-der-toten,com-remix-50-speedrun,,steam,https://youtube.com/watch?v=11y1pf-9bOA,,co-op,2:01:21,2,Looe,Takeo829,,,0,
community,nacht-der-untoten,com-thompson,black-ops,steam,https://youtube.com/watch?v=oYVp6X7gtvY,,solo,20,1,Looe,,,,0,
community,verruckt,com-thompson,black-ops,steam,https://youtube.com/watch?v=8wIZAGZlwvg,,co-op,18,2,Looe,Emka,,,0,
community,five,com-lab,black-ops,steam,https://youtube.com/watch?v=dlfGy2XZJI0,,co-op,35,2,Looe,Emka,,,0,
community,five,com-lab,black-ops,steam,https://youtube.com/watch?v=fszHQUtG8Pc,,solo,31,1,Looe,,,,0,
