game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,die-rise,high-round,,playstation,https://youtube.com/watch?v=n6jQbjYwgM0,,co-op,36,3,Lord___1_1_5,GuigaRafa1,ThozK_-,,0,
bo3,gorod-krovi,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=-1aKi-KLuAc,,co-op,46,3,Lord___1_1_5,Thekeapper_BR,ThozK_-,,0,
bo2,mob-of-the-dead,flawless,,playstation,https://youtube.com/watch?v=11DbQgB9eeU,,co-op,45,2,Lord___1_1_5,Mr_brolly,,,0,
bo2,die-rise,flawless,,playstation,https://youtube.com/watch?v=vyTQPg6-FRk,,co-op,45,2,Lord___1_1_5,ThozK_-,,,0,
bo2,die-rise,flawless,,playstation,https://youtube.com/watch?v=n6jQbjYwgM0,,co-op,36,3,Lord___1_1_5,GuigaRafa1,ThozK_-,,0,
bo,shangri-la,flawless,,playstation,https://youtube.com/watch?v=nri_13L1vrc,,co-op,31,2,Lord___1_1_5,Mr_brolly,,,0,
bo2,die-rise,first-room,,playstation,https://youtube.com/watch?v=4fVIok1snRo,,co-op,11,4,Lord___1_1_5,ThozK_-,Mr_brolly,RicardoKujo,0,
bo3,shadows-of-evil,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=qhl9PFVQO5U,,co-op,60,3,Lord___1_1_5,JOAOeDINHO_SALLY,ThozK_-,,0,
bo3,der-eisendrache,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=pfmNcNves34,,co-op,50,3,Lord___1_1_5,JOAOeDINHO_SALLY,Thekeapper_BR,,0,
bo3,shadows-of-evil,no-jug,mega-gobblegum,playstation,https://youtube.com/watch?v=qhl9PFVQO5U,,co-op,60,3,Lord___1_1_5,JOAOeDINHO_SALLY,ThozK_-,,0,
bo3,der-eisendrache,no-jug,mega-gobblegum,playstation,https://youtube.com/watch?v=pfmNcNves34,,co-op,50,3,Lord___1_1_5,JOAOeDINHO_SALLY,Thekeapper_BR,,0,
bo2,origins,30-speedrun,,playstation,https://youtube.com/watch?v=8sP2Ae7kKIM,,co-op,52:15,2,Lord___1_1_5,Mr_brolly,,,0,
bo,shangri-la,ee-speedrun,,playstation,https://youtube.com/watch?v=8m2wq6NGHKc,,co-op,41:00,4,Lord___1_1_5,RicardoKujo,Mr_brolly,ThozK_-,0,
bo2,origins,ee-speedrun,,playstation,https://youtube.com/watch?v=XC_zGsp-lm8,,co-op,46:38,4,Lord___1_1_5,morty06123,Thekeapper_BR,GuigaRafa1,0,
