game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,steam,http://twitch.tv/videos/1600826133,,solo,255,1,Lucifire,,,,0,
bo3,revelations,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/1595374823,,solo,255,1,Lucifire,,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,http://twitch.tv/videos/1600826133,,solo,255,1,Lucifire,,,,0,
bo3,revelations,flawless,classic-gobblegum-only,steam,http://twitch.tv/videos/1595374823,,solo,255,1,Lucifire,,,,0,
bo3,revelations,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=zTFBIZI8HSI,,solo,28:44,1,Lucifire,,,,0,
bo3,shadows-of-evil,30-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=-qbK2KUB40A,,co-op,40:00,4,GannonSnipes,Lucifire,Skrine,Jumpy,0,
bo3,shadows-of-evil,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=-qbK2KUB40A,,co-op,40:00,4,Lucifire,GannonSnipes,Skrine,Jumpy,0,
bo3,the-giant,50-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=xYpLtow2-z0,,co-op,1:11:16,2,Jumpy,Lucifire,,,0,
bo3,revelations,255-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/1600826133,,solo,31:10:35,1,Lucifire,,,,0,
bo3,revelations,255-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1595374823,,solo,32:25:01,1,Lucifire,,,,0,
