game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,nacht-der-untoten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=kUPIYUEPdiw,,co-op,50,2,K3K41,M4N4,,,0,
custom,nacht-der-agonie-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ZNuJUUxWvXg,,co-op,48,2,K3K41,M4N4,,,0,
bo3,origins,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=WGNk0ZvL6-8,,co-op,80,2,K3K41,M4N4,,,0,
bo3,kino-der-toten,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=OrAu54cJkcE,,co-op,50,3,K3K41,M4N4,WO3K,,0,
bo3,nacht-der-untoten,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=YFO8MI7wUok,,co-op,41,2,K3K41,M4N4,,,0,
custom,nacht-der-agonie-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=9GVTUADOG_g,,co-op,43,2,K3K41,M4N4,,,0,
custom,the-iron-dragon-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=lsIwaCvfXXc,,co-op,31,2,K3K41,M4N4,,,0,
bo3,origins,no-aat,no-gobblegum,steam,https://youtube.com/watch?v=APBNG7RLXuk,,co-op,80,2,K3K41,M4N4,,,0,
bo3,ascension,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=yzhBeGzLdlo,,co-op,59,2,K3K41,M4N4,,,0,
bo3,shangri-la,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=pO9_qVoi800,,co-op,50,2,K3K41,M4N4,,,0,
bo3,ascension,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=caqtNqwJS5w,,co-op,35,3,K3K41,M4N4,HandSoap,,0,
bo3,shangri-la,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=l8oQvMUT2LY,,co-op,26,2,K3K41,M4N4,,,0,
custom,rainy-death-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=2zVqP5HX8i8,,co-op,36:07,2,K3K41,M4N4,,,0,
custom,der-riese-declassified-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=sO-qy8QHU6o,,co-op,37:53,2,K3K41,M4N4,,,0,
custom,the-iron-dragon-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=lsIwaCvfXXc,,co-op,38:03,2,K3K41,M4N4,,,0,
custom,mori-rebirth-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=lpkl3VDsq-U,,co-op,40:17,2,K3K41,M4N4,,,0,
custom,the-crazy-place-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=ZW_-xMtDqu8,,co-op,41:59,2,K3K41,M4N4,,,0,
custom,void-expanse-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=jCqkpim6vGE,,co-op,43:04,2,K3K41,M4N4,,,0,
bo3,verruckt,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=yhtvTy-sMOk,,co-op,39:48,2,K3K41,M4N4,,,0,
bo3,nacht-der-untoten,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=QFcazxGHqcE,,co-op,54:36,2,K3K41,M4N4,,,0,
