game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,classified,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=CsFNsiUUjoE,,solo,150,1,MZC,,,,0,
bocw,forsaken,high-round,with-support,steam,https://youtube.com/watch?v=YrniQipFBv8,,solo,101,1,MZC,,,,0,
bo4,ix,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=LPj-F_990JA,,solo,101,1,MZC,,,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=fqtz-wSQlBU,,solo,101,1,MZC,,,,0,
bo4,blood-of-the-dead,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=8wao-JipFdU,,solo,101,1,MZC,,,,0,
bocw,die-maschine,high-round,with-support,steam,https://youtube.com/watch?v=J1AAlb5DawY,,solo,101,1,MZC,,,,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=pCp5qZxj8rA,,solo,100,1,MZC,,,,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=k0hwYIFSPGU,,solo,100,1,MZC,,,,0,
bocw,firebase-z,high-round,with-support,steam,https://youtube.com/watch?v=WxhVUOb6L_k,,solo,100,1,MZC,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=mpBpUeo7LxY,,solo,100,1,MZC,,,,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=zskZPQfk_L8,,solo,100,1,MZC,,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=Y7jo3IoEJ_U,,solo,100,1,MZC,,,,0,
bocw,mauer-der-toten,high-round,with-support,steam,https://youtube.com/watch?v=VKbTjlTo2lc,,solo,100,1,MZC,,,,0,
bo3,der-eisendrache,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=O5qNHesqPwI,,solo,100,1,MZC,,,,0,
bo3,moon,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=1YT_YTamQRU,,solo,100,1,MZC,,,,0,
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=S32geR1078A,,solo,88,1,MZC,,,,0,
custom,town-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=BzeeKAMX1xA,,solo,100,1,MZC,,,,0,
bo6,liberty-falls,100-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=HlRTbbInK0E,,co-op,2:53:55,2,MZC,PACKED PUNCH,,,0,
bo3,moon,100-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=1YT_YTamQRU,,solo,2:56:59,1,MZC,,,,0,
bo3,shadows-of-evil,100-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=mpBpUeo7LxY,,solo,3:40:15,1,MZC,,,,0,
bo3,der-eisendrache,100-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=O5qNHesqPwI,,solo,3:50:35,1,MZC,,,,0,
bo3,moon,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=sWxcvLCAkPg,,solo,23:58,1,MZC,,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=BK2qu__7deg,,solo,45:01,1,MZC,,,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=BK2qu__7deg,,solo,50:09,1,MZC,,,,0,
