game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,playstation,http://twitch.tv/videos/85287494,,co-op,45,4,karchkiraly,ImCluutch,Juniordriver,Madsqauwker,0,
bo,kino-der-toten,high-round,,playstation,http://twitch.tv/videos/84651745,,co-op,43,4,karchkiraly,HarryG2900,Madsqauwker,Sirsnorzealot,0,
bo,verruckt,first-room,jug-side,xbox,https://youtube.com/watch?v=bi9dBrelvP0,,co-op,47,2,Madsqauwker,Frooostbyte,,,0,
bo,verruckt,first-room,jug-side,xbox,https://youtube.com/watch?v=yTpLACBG_DM,,co-op,43,2,Madsqauwker,Player 2,,,0,
bo,verruckt,first-room,jug-side,xbox,https://youtube.com/watch?v=YuFl4NZME8E,,co-op,43,2,Madsqauwker,Da_Gho,,,0,
bo,der-riese,first-room,,playstation,https://youtube.com/watch?v=xgRTlU-JsbY,,co-op,37,2,fish6060,Madsqauwker,,,0,
bo,ascension,first-room,,steam,https://youtube.com/watch?v=b8wu6-2_2K0,,co-op,36,4,Madsqauwker,Plant,Tonestone36,Zi0,0,
bo,der-riese,first-room,,steam,https://youtube.com/watch?v=oR92_oSki0A,,co-op,36,3,Zi0,Tonestone36,Madsqauwker,,0,
bo,verruckt,first-room,mixed,steam,http://twitch.tv/videos/2023579422,,co-op,35,4,Madsqauwker,Player 2,Poetiks,Mars,0,
bo,verruckt,first-room,mixed,xbox,https://youtube.com/watch?v=FbWLjczU-Aw,,co-op,34,3,Madsqauwker,TzT Nightmare,Tonestone36,,0,
bo,der-riese,first-room,,playstation,https://youtube.com/watch?v=9seGWWBY938,,co-op,34,3,fish6060,Da_Gho,Madsqauwker,,0,
bo,kino-der-toten,first-room,,playstation,https://youtube.com/watch?v=QtU7y4YTK4M,,co-op,34,3,fish6060,Da_Gho,Madsqauwker,,0,
bo,verruckt,first-room,mixed,steam,https://youtube.com/watch?v=zMOegH91bbI,,co-op,33,4,Madsqauwker,TzT Nightmare,Frooostbyte,Zi0,0,
bo2,mob-of-the-dead,first-room,,xbox,https://youtube.com/watch?v=nriOHaQ6i9c,,co-op,33,2,Da_Gho,Madsqauwker,,,0,
bo2,mob-of-the-dead,first-room,,xbox,https://youtube.com/watch?v=g_I__tKChl8,,co-op,32,2,Madsqauwker,Player 2,,,0,
bo,verruckt,first-room,mixed,xbox,https://youtube.com/watch?v=y-ay5fi-aXw,,co-op,32,3,HeyImAlex,Player 2,Madsqauwker,,0,
bo,der-riese,first-room,,xbox,https://youtube.com/watch?v=DUM5pP78xAQ,,co-op,31,4,Billionaire,TzT Nightmare,Da_Gho,Madsqauwker,0,
bo,verruckt,first-room,quick-side,xbox,https://youtube.com/watch?v=vnPhQr06OvE,,co-op,30,2,Madsqauwker,Plarkour,,,0,
bo,verruckt,first-room,quick-side,xbox,https://youtube.com/watch?v=nIdUsq_E3T0,,co-op,30,2,Madsqauwker,Player 2,,,0,
bo,verruckt,first-room,jug-side,xbox,https://youtube.com/watch?v=aVkY82RGtZE,,solo,30,1,Madsqauwker,,,,0,
bo,nacht-der-untoten,first-room,,playstation,https://youtube.com/watch?v=-at0qtwSXtY,,co-op,30,3,fish6060,Da_Gho,Madsqauwker,,0,
bo,der-riese,first-room,,playstation,https://youtube.com/watch?v=9seGWWBY938,,co-op,29,4,Da_Gho,KillerGoverments,Madsqauwker,fish6060,0,
bo2,bus-depot,first-room,,xbox,https://youtube.com/watch?v=2ttdGmMdj4g,,solo,29,1,Madsqauwker,,,,0,
bo,verruckt,first-room,quick-side,xbox,https://youtube.com/watch?v=WZzHDpcguKA,,solo,28,1,Madsqauwker,,,,0,
bo2,mob-of-the-dead,first-room,,xbox,http://twitch.tv/videos/513073020,,co-op,26,4,Galiaahh,Flo203,Da_Gho,Madsqauwker,0,
bo,verruckt,first-room,mixed,xbox,https://youtube.com/watch?v=Yq36-ny96Zc,,co-op,26,4,Frooostbyte,Lanevader,Billionaire,Madsqauwker,0,
bo,verruckt,first-room,mixed,xbox,https://youtube.com/watch?v=19FDZpMnnyI,,co-op,25,3,Lanevader,TzT Nightmare,Madsqauwker,,0,
bo,verruckt,first-room,mixed,xbox,http://twitch.tv/videos/347186915,,co-op,22,4,GamingGhostHD,Tonestone36,Zaro,Madsqauwker,0,
community,verruckt,com-reversed,black-ops,xbox,https://youtube.com/watch?v=K-L0mmzCA-k,,co-op,30,3,Tonestone36,TzT Nightmare,Madsqauwker,,0,
community,verruckt,com-reversed,black-ops,xbox,https://youtube.com/watch?v=19FDZpMnnyI,,co-op,25,3,Lanevader,TzT Nightmare,Madsqauwker,,0,
