game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=_SShSRs_Dxo,,solo,100,1,MagikS,,,,0,
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=k1f6lleNzZw,,co-op,50,2,MagikS,Moman,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=BFGutQiIktU,,co-op,50,2,MagikS,Moman,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=_SShSRs_Dxo,,solo,100,1,MagikS,,,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=Ddanrv_ESdo,,co-op,54:20,3,MagikS,Moman,ToMaTe,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=5FzQdMToDoQ,,co-op,1:27:51,4,ToMaTe,MagikS,Moman,Alderish,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=BFGutQiIktU,,co-op,1:28:25,2,MagikS,Moman,,,0,
bo3,shadows-of-evil,50-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=BFGutQiIktU,,co-op,2:32:10,2,MagikS,Moman,,,0,
bo2,mob-of-the-dead,50-speedrun,,steam,https://youtube.com/watch?v=k1f6lleNzZw,,co-op,4:01:24,2,MagikS,Moman,,,0,
bo3,revelations,100-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=_SShSRs_Dxo,,solo,4:19:25,1,MagikS,,,,0,
