game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,deprogram,onslaught,,xbox,https://youtube.com/watch?v=8Hb95U6J590,,solo,683,1,MangoBingus,,,,0,
bo4,classified,no-perks,no-elixirs,xbox,https://youtube.com/watch?v=durjtS2RFYo,,solo,101,1,MangoBingus,,,,0,
bo3,kino-der-toten,no-perks,no-gobblegum,xbox,https://youtube.com/watch?v=0hLNTtKoonc,,solo,92,1,MangoBingus,,,,0,
bo3,kino-der-toten,no-perks,classic-gobblegum-only,xbox,https://youtube.com/watch?v=bh9lWkb4Brc,,solo,88,1,MangoBingus,,,,0,
bo4,blood-of-the-dead,no-perks,no-elixirs-hardcore,xbox,https://youtube.com/watch?v=04hyYnmFNsQ,,solo,85,1,MangoBingus,,,,0,
bo3,shangri-la,no-perks,classic-gobblegum-only,xbox,https://youtube.com/watch?v=KTRhrAv06L4,,solo,80,1,MangoBingus,,,,0,
bo3,shangri-la,no-perks,no-gobblegum,xbox,https://youtube.com/watch?v=ZKRbVY47MYg,,solo,78,1,MangoBingus,,,,0,
bo3,the-giant,no-perks,classic-gobblegum-only,xbox,https://youtube.com/watch?v=pSO6jmshLms,,solo,64,1,MangoBingus,,,,0,
bo4,classified,no-perks,no-elixirs-hardcore,xbox,https://youtube.com/watch?v=YwF6SthxO-c,,solo,57,1,MangoBingus,,,,0,
community,apocalypse,com-onslaught-elite,,xbox,https://youtube.com/watch?v=wYkJJbDt4Nc,,solo,435,1,MangoBingus,,,,0,
