game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/2440817778,,co-op,100,2,Matt TRU,REVELATION_115,,,0,
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/2603746618,,co-op,99,2,Matt TRU,kTzBullettzz,,,0,
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/2405787758,,co-op,58,3,Matt TRU,KARL TH3 K1LL3R,ll FXR ll,,0,
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/2657742010,,co-op,57,3,Matt TRU,WalleyNuts,I V3LOCI7Y I,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2695257229,,solo,85,1,Matt TRU,,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2604905037,,co-op,60,2,Matt TRU,Br0z,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2437995931,,co-op,60,2,Matt TRU,REVELATION_115,,,0,
bo,der-riese,flawless,,xbox,https://youtube.com/watch?v=oWSDmHb5WPg,,co-op,57,3,Matt TRU,joenis00,REVELATION_115,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2633867711,,co-op,56,2,Matt TRU,kTzBullettzz,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2420231364,,co-op,56,2,Matt TRU,joenis00,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2402219070,,co-op,55,2,Matt TRU,KARL TH3 K1LL3R,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2424789201,,co-op,45,4,Matt TRU,joenis00,MITC4ELL,Br0z,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2395153993,,co-op,39,3,joenis00,Matt TRU,REVELATION_115,,0,
bo,shi-no-numa,flawless,,xbox,http://twitch.tv/videos/2408477407,,co-op,32,2,KARL TH3 K1LL3R,Matt TRU,,,0,
bo,der-riese,no-power,,xbox,http://twitch.tv/videos/2590463962,,solo,29,1,Matt TRU,,,,0,
bo,der-riese,30-speedrun,,xbox,http://twitch.tv/videos/2690749109,,solo,34:31,1,Matt TRU,,,,0,
bo,shi-no-numa,30-speedrun,,xbox,http://twitch.tv/videos/2679575015,,co-op,48:47,2,Matt TRU,WalleyNuts,,,0,
bo,der-riese,50-speedrun,,xbox,http://twitch.tv/videos/2697444640,,co-op,1:54:45,2,WalleyNuts,Matt TRU,,,0,
bo,der-riese,100-speedrun,,xbox,http://twitch.tv/videos/2440817778,,co-op,18:40:01,2,Matt TRU,REVELATION_115,,,0,
community,shi-no-numa-bo3,com-second-room,mega-gobblegums,xbox,http://twitch.tv/videos/2706810107,,solo,81,1,Matt TRU,,,,0,
community,shi-no-numa-bo1,com-second-room,,xbox,http://twitch.tv/videos/2691639045,,co-op,41,2,Matt TRU,KARL TH3 K1LL3R,,,0,
community,shi-no-numa-bo1,com-second-room,,xbox,http://twitch.tv/videos/2693581542,,solo,30,1,Matt TRU,,,,0,
community,der-riese,com-pap-speedruns,regular,xbox,http://twitch.tv/videos/2666039367,,co-op,5:59,4,Matt TRU,Chopin,I V3LOCI7Y I,WalleyNuts,0,
community,five,com-lab,black-ops,xbox,http://twitch.tv/videos/2664244366,,co-op,34,2,Matt TRU,I V3LOCI7Y I,,,0,
