game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=k_67QhcqU2E,,co-op,113,3,Kakakarotcake,Trophyhuntermanu,MaxMaxi18,,0,
bo3,shangri-la,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=LT96nCIzHjk,,co-op,72,3,Kakakarotcake,ruthless-gerrit,MaxMaxi18,,0,
wwii,bodega-cervantes,high-round,,playstation,http://twitch.tv/videos/319809223,,co-op,70,3,Kakakarotcake,GxdLikeShura,MaxMaxi18,,0,
wwii,gresten-haus,high-round,,playstation,https://youtube.com/watch?v=0f1AO4vzorQ,,co-op,57,3,Kakakarotcake,Trophyhuntermanu,MaxMaxi18,,0,
bo3,moon,nml,mega-gobblegum,playstation,http://twitch.tv/videos/318555748,,co-op,15255,3,Kakakarotcake,Deporater,MaxMaxi18,,0,
bo3,moon,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Lby7GEokjxA,,co-op,36,3,MaxMaxi18,TDF_iStylezZ,ToxicHunter32,,0,
wwii,gresten-haus,30-speedrun,with-consumables,playstation,https://youtube.com/watch?v=0f1AO4vzorQ,,co-op,27:55,3,Kakakarotcake,Trophyhuntermanu,MaxMaxi18,,0,
wwii,the-frozen-dawn,30-speedrun,with-consumables,playstation,http://twitch.tv/videos/319817609,,co-op,28:43,2,Kakakarotcake,MaxMaxi18,,,0,
wwii,bodega-cervantes,30-speedrun,with-consumables,playstation,https://youtube.com/watch?v=1_KLXH1s1pY,,co-op,29:50,2,Kakakarotcake,MaxMaxi18,,,0,
wwii,bodega-cervantes,30-speedrun,with-consumables,playstation,https://youtube.com/watch?v=izsXFFJ1VLc,,co-op,32:30,4,Kakakarotcake,MaxMaxi18,noah2376,xShaDow_DoNut_x,0,
wwii,the-frozen-dawn,30-speedrun,with-consumables,playstation,http://twitch.tv/videos/318316225,,co-op,33:32,4,Kakakarotcake,Trophyhuntermanu,MaxMaxi18,xRS_NuKeZz,0,
wwii,the-final-reich,30-speedrun,with-consumables,playstation,http://twitch.tv/videos/319669075,,co-op,37:59,4,Kakakarotcake,Trophyhuntermanu,GxdLikeShura,MaxMaxi18,0,
bo3,nacht-der-untoten,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/410234148,,co-op,50:49,4,Kakakarotcake,Simjani,MaxMaxi18,JxstPublic,0,
wwii,the-frozen-dawn,50-speedrun,with-consumables,playstation,http://twitch.tv/videos/319817609,,co-op,1:18:20,2,Kakakarotcake,MaxMaxi18,,,0,
wwii,the-darkest-shore,50-speedrun,with-consumables,playstation,https://youtube.com/watch?v=jKrTNcVOBYY,,co-op,1:20:18,4,Kakakarotcake,Trophyhuntermanu,MaxMaxi18,xRS_NuKeZz,0,
wwii,gresten-haus,50-speedrun,with-consumables,playstation,https://youtube.com/watch?v=0f1AO4vzorQ,,co-op,1:24:14,3,Kakakarotcake,Trophyhuntermanu,MaxMaxi18,,0,
bo3,nacht-der-untoten,50-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/410234148,,co-op,3:04:51,4,Kakakarotcake,Simjani,MaxMaxi18,JxstPublic,0,
