game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/299452972,,co-op,205,2,Jordi Pi,Maxi,,,0,
bo3,the-giant,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=9owqkDHjgHU,,solo,186,1,Maxi,,,,0,
bo3,ascension,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=yXJ4XtA0kak,,co-op,170,2,Exiled Clipz,Maxi,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=RUbU2Vd83BU,,co-op,130,2,Maxi,Jordi Pi,,,0,
bo3,shi-no-numa,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=t9tNiru94HY,,co-op,69,2,JoKeR_-ZomBeR,Maxi,,,0,
bo3,verruckt,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=7kL63BLcjWg,,co-op,50,3,Maxi,JoKeR_-ZomBeR,Benja_-killaz265,,0,
bo3,the-giant,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=9owqkDHjgHU,,solo,186,1,Maxi,,,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=WAjJlUcGXb4,,co-op,48,2,Maxi,acarriz,,,0,
bo3,moon,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=TYtH3AVMzLQ,,co-op,40,4,Rubiii_8,Legna,XxbentokxX,Maxi,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,playstation,https://youtube.com/watch?v=dxYOonJVHdI,,solo,23,1,Maxi,,,,0,
bo3,moon,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/253123874,,co-op,117,2,Jordi Pi,Maxi,,,0,
bo3,ascension,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/393391199,,co-op,82,3,Not.,Maxi,Jordi Pi,,0,
bo3,moon,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=aKyD_1AgdJo,,co-op,70,2,Exiled Clipz,Maxi,,,0,
bo3,moon,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=8UrGy9qB4M4,,co-op,47,4,Jordi Pi,Exiled Clipz,Gencrack765,Maxi,0,
bo4,blood-of-the-dead,no-power,classic-elixirs-only,playstation,http://twitch.tv/videos/348296098,,co-op,46,3,Maxi,Xarli23,TheAguilera,,0,
bo3,shi-no-numa,no-jug,no-gobblegum,playstation,https://youtube.com/watch?v=3yx3uQp_FzM,,solo,103,1,Maxi,,,,0,
bo3,ascension,100-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=_D1PhrC7lLQ,,co-op,7:07:55,2,Exiled Clipz,Maxi,,,0,
