game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,verruckt,flawless,,xbox,https://youtube.com/watch?v=_Gn5gRdkg70,,co-op,27,2,deleted,Mkowlsm,,,0,
bo,nacht-der-untoten,flawless,,xbox,https://youtube.com/watch?v=8LpSssqnDwo,,co-op,21,2,deleted,Mkowlsm,,,0,
waw,verruckt,no-power,,xbox,https://youtube.com/watch?v=pWHrvMoZyuU,,co-op,27,2,deleted,Mkowlsm,,,0,
waw,der-riese,no-power,original,xbox,https://youtube.com/watch?v=u79rrW3kEoQ,,co-op,25,2,deleted,Mkowlsm,,,0,
waw,verruckt,no-power,,xbox,https://youtube.com/watch?v=Vv4rdijDUH0,,co-op,23,3,deleted,Mkowlsm,WOWOWO1432,,0,
waw,der-riese,no-perks,original,xbox,https://youtube.com/watch?v=hjKsWgq9IQE,,co-op,35,2,deleted,Mkowlsm,,,0,
bo,verruckt,no-perks,,xbox,https://youtube.com/watch?v=orpjVmlZcw8,,co-op,29,2,deleted,Mkowlsm,,,0,
waw,verruckt,no-perks,,xbox,https://youtube.com/watch?v=0p5EBnLGLWk,,co-op,28,2,deleted,Mkowlsm,,,0,
bo,ascension,no-perks,,xbox,https://youtube.com/watch?v=vfxysXvtc3Q,,co-op,21,2,deleted,Mkowlsm,,,0,
waw,der-riese,no-jug,original,xbox,https://youtube.com/watch?v=hjKsWgq9IQE,,co-op,35,2,deleted,Mkowlsm,,,0,
bo,five,no-jug,,xbox,https://youtube.com/watch?v=HHRiX1zoALE,,co-op,32,2,deleted,Mkowlsm,,,0,
waw,verruckt,no-jug,,xbox,https://youtube.com/watch?v=0p5EBnLGLWk,,co-op,28,2,deleted,Mkowlsm,,,0,
bo,verruckt,no-jug,,xbox,https://youtube.com/watch?v=pZOzqPKOJVo,,co-op,28,2,deleted,Mkowlsm,,,0,
bo,shi-no-numa,no-jug,,xbox,https://youtube.com/watch?v=EqEv5MP7xsI,,co-op,21,2,deleted,Mkowlsm,,,0,
