game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/1113825931,,co-op,99,3,ganyabwoy,testerXVI,Mogambo,,0,
bo2,die-rise,flawless,,steam,https://youtube.com/watch?v=1sp95f0FACM,,co-op,108,2,Mogambo,Mamadou,,,0,
bo2,mob-of-the-dead,flawless,,steam,https://youtube.com/watch?v=9LEojFPlLAo,,co-op,65,2,Mogambo,MandinghaMagica,,,0,
bo,shangri-la,no-perks,,steam,https://youtube.com/watch?v=oIBAz7oxEPQ,,co-op,37,4,cacahuetesecreto,Mogambo,RUVENFUMAJACK,Comander_Borja,0,
bo2,buried,bo2-no-jug,,steam,https://youtube.com/watch?v=dn0ZGROwJu0,,co-op,29,2,Mogambo,Ban Abedayo,,,0,
bo,shangri-la,no-jug,,steam,https://youtube.com/watch?v=oIBAz7oxEPQ,,co-op,37,4,cacahuetesecreto,Mogambo,RUVENFUMAJACK,Comander_Borja,0,
bo,ascension,30-speedrun,,steam,http://twitch.tv/videos/1253223513,,co-op,1:11:33,4,ganyabwoy,Mamadou,Mogambo,KingEliSwagpus,0,
bo,kino-der-toten,50-speedrun,,steam,http://twitch.tv/videos/1113825931,,co-op,3:27:45,3,Mogambo,ganyabwoy,TesterAVI,,0,
community,samantha-lullaby,com-song-speedrun,,steam,https://youtube.com/watch?v=GHQiIrfgENU,,solo,1:55,1,Mogambo,,,,0,
community,aether,com-song-speedrun,,steam,https://youtube.com/watch?v=x5elSX_24DM,,solo,2:01,1,Mogambo,,,,0,
community,carrion,com-song-speedrun,,steam,https://youtube.com/watch?v=4ciK_hbxst4,,solo,2:10,1,Mogambo,,,,0,
community,where-are-we-going,com-song-speedrun,,steam,https://youtube.com/watch?v=4vtl6uNcW4A,,solo,2:12,1,Mogambo,,,,0,
community,rusty-cage,com-song-speedrun,,steam,https://youtube.com/watch?v=qj3Gco5lIHc,,solo,2:13,1,Mogambo,,,,0,
community,re-damned,com-song-speedrun,,steam,https://youtube.com/watch?v=lb4YcNsDNAk,,solo,5:41,1,Mogambo,,,,0,
community,die-rise,com-mp5,,steam,http://twitch.tv/videos/967930780,,co-op,23,3,Mogambo,Mamadou,MandinghaMagica,,0,
community,buried,com-mp5,,steam,https://youtube.com/watch?v=DgT62p2R9yQ,,co-op,18,3,Mogambo,Mamadou,MandinghaMagica,,0,
community,die-rise,com-b23r,,steam,http://twitch.tv/videos/970967913,,co-op,20,3,Mogambo,Mamadou,MandinghaMagica,,0,
community,die-rise,com-b23r,,steam,https://youtube.com/watch?v=DjhOv0tp7o8,,co-op,20,2,Mogambo,MandinghaMagica,,,0,
community,die-rise,com-b23r,,steam,http://twitch.tv/videos/998631052,,co-op,16,4,Mamadou,MandinghaMagica,Mogambo,araim,0,
