game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/239623480,,co-op,71,3,MoneyMan6802,OnionMcChill,FantasticBull76,,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/444621113,,co-op,0:59,4,Itzs Nukez,wil i ams 34,Otoxy,MoneyMan6802,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/445195807,,co-op,1:09,3,Itzs Nukez,Otoxy,MoneyMan6802,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=b0ocbYjniyM,,co-op,22:42,4,ABHI7777,Otoxy,MoneyMan6802,Itzs Nukez,0,
bo3,revelations,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=YFEpKbOwi3Y,,co-op,27:07,4,ABHI7777,Itzs Nukez,BostonSports8,MoneyMan6802,0,
wwii,the-final-reich,ee-speedrun,casual-ee-with-consumables,xbox,https://youtube.com/watch?v=H6ydnpShfBQ,,co-op,28:48,3,xDEX MORGANx,OnionMcChill,MoneyMan6802,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=P6Ka93bGUTM,,co-op,31:20,4,MoneyMan6802,xDEX MORGANx,Survivor209,OnionMcChill,0,
wwii,the-final-reich,ee-speedrun,casual-ee-with-consumables,xbox,https://youtube.com/watch?v=kti-6b9AhEs,,co-op,32:14,3,PokesGottaPoke,FantasticBull76,MoneyMan6802,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=vEG6lmOxRl0,,co-op,32:52,4,ABHI7777,Itzs Nukez,MoneyMan6802,ShifT Clutch115,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=fbs4E1pigj0,,co-op,33:46,4,ABHI7777,Itzs Nukez,MoneyMan6802,GoldenxxHawk,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=NiiXNGs2n-c,,co-op,33:47,4,ABHI7777,Itzs Nukez,BostonSports8,MoneyMan6802,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=VxvgWL3mdrc,,co-op,37:07,4,ABHI7777,Otoxy,wil i ams 34,MoneyMan6802,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=JFNr3CiJjcU,,co-op,38:42,4,ABHI7777,MoneyMan6802,Itzs Nukez,wil i ams 34,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=A37sC1S-pCI,,co-op,39:26,4,ABHI7777,Itzs Nukez,MoneyMan6802,VitroWithered,0,
