game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,bus-depot,high-round,,xbox,http://twitch.tv/videos/648549409,,co-op,13,4,Rocks,Mr.Endor,TheSmithPlays,MrTLexify,0,
custom,leviathan-remastered-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=OFoPvWOkdz0,,solo,100,1,MrTLexify,,,,0,
custom,clinic-of-evil-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=va0-FiU7OtQ,,solo,17,1,MrTLexify,,,,0,
custom,leviathan-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=5Yw0XDzxhaI,,co-op,14,2,SmithPlays,MrTLexify,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=PY6ZrVnHUEo,,co-op,51:12,4,MrTLexify,Conway22,FantasticalGamer,RADAUSTIN27,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=PY6ZrVnHUEo,,co-op,52:10,4,MrTLexify,Conway22,FantasticalGamer,RADAUSTIN27,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=PY6ZrVnHUEo,,co-op,52:50,4,MrTLexify,Conway22,FantasticalGamer,RADAUSTIN27,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=ycEuacFS3VQ,,co-op,56:50,4,MrTLexify,Conway22,FantasticalGamer,RADAUSTIN27,0,
bo2,origins,ee-speedrun,,steam,https://youtube.com/watch?v=ndjEssClFLI,,solo,1:40:19,1,MrTLexify,,,,0,
bo3,revelations,ee-speedrun,any,playstation,https://youtube.com/watch?v=48pmaZZbN5U,,co-op,1:52:24,4,MrTLexify,MrRoflWaffles,LagginYT,RADAUSTIN27,0,
aw,descent,ee-speedrun,,steam,https://youtube.com/watch?v=8wwVenLvGGM,,co-op,2:01:25,4,NoahJ456,MrDalekJD,MrTLexify,Ch0pper,0,
