game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,blood-of-the-dead,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=Q7JcUIeQYhI,,co-op,54,2,t-fj-,Mr_Room_711,,,0,
bo4,blood-of-the-dead,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=JI6EnCk-oWA,,co-op,51,3,t-fj-,Mr_Room_711,fynaw,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=TiJeuOzS9lQ,,co-op,47,2,t-fj-,Mr_Room_711,,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=0zjP8gLSLNM,,co-op,41,3,t-fj-,Mr_Room_711,Abu_Zahra,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=THXjUlTu9bA,,co-op,36,3,t-fj-,Mr_Room_711,Cretos7,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=LLqK0c8DBLg,,co-op,32,4,t-fj-,Mr_Room_711,Abu_Zahra,Cretos7,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=rcRoj0R4VxI,,co-op,32,4,t-fj-,Mr_Room_711,ABo-MisH3aB_,Abu_Zahra,0,
bo6,liberty-falls,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=jjKIqAMZSk4,,co-op,31,2,Mr_Room_711,Paskisgrief,,,0,
bo3,shadows-of-evil,first-room,,playstation,https://youtube.com/watch?v=KBwZEwEl5tA,,co-op,19,2,t-fj-,Mr_Room_711,,,0,
bo3,shangri-la,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=W_S6BvhZSH0,,co-op,16,3,t-fj-,Mr_Room_711,ABo-MisH3aB_,,0,
