game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,firebase-z,high-round,with-support,playstation,https://youtube.com/watch?v=ayUKVRUkFlQ,,co-op,99,4,Antijonson,Muerte88 YT,Jesulillo75,Grupo-Omega-115,0,
bocw,mauer-der-toten,high-round,with-support,playstation,https://youtube.com/watch?v=cMWnOlzKkqY,,co-op,75,3,Antijonson,Muerte88 YT,Meteoro115,,0,
bo3,zetsubou-no-shima,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=qhFJ4zyKfWs,,co-op,57,3,Muerte88 YT,c0nflictivo93,Antijonson,,0,
bocw,outbreak,high-round,casual,playstation,https://youtube.com/watch?v=DoPBmeooWpw,,co-op,50,4,Lidon7,Muerte88 YT,Raickin,Strouch1,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=zuAZbteL96I,,co-op,144,3,Pakitoarcade,Muerte88 YT,Strouch1,,0,
bocw,firebase-z,flawless,with-support,playstation,https://youtube.com/watch?v=pJr8eqoeJdk,,co-op,128,2,MAESTRE ZOMBIES,Muerte88 YT,,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=VH_eHfvwZLs,,co-op,114,3,Pakitoarcade,Muerte88 YT,Ninja renegade,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=SYN4OkD1-5I,,co-op,74,4,Antijonson,Muerte88 YT,mercado_arcana,Jesulillo75,0,
bocw,firebase-z,flawless,with-support,playstation,https://youtube.com/watch?v=R2mrTzEtsQw,,co-op,60,4,Muerte88 YT,Ninja renegade,Bull_adri_terrie,Antijonson,0,
bocw,outbreak,flawless,casual,playstation,https://youtube.com/watch?v=HYXjwgbMrw0,,co-op,38,2,Lidon7,Muerte88 YT,,,0,
bocw,outbreak,flawless,casual,playstation,https://youtube.com/watch?v=ZxfIwywCWEs,,co-op,25,3,Lidon7,Muerte88 YT,ManuxX-_-,,0,
bocw,outbreak,flawless,casual,playstation,https://youtube.com/watch?v=tIKvGFLsSUI,,co-op,11,4,Pakitoarcade,Muerte88 YT,MAESTRE_ZOMBIES_,XxakilesXx-toret,0,
bocw,die-maschine,first-room,with-support,playstation,https://youtube.com/watch?v=kiHn5jMEgvI,,co-op,58,2,Lidon7,Muerte88 YT,,,0,
bocw,firebase-z,first-room,with-support,playstation,https://youtube.com/watch?v=asgkEf5oSCU,,solo,54,1,Muerte88 YT,,,,0,
bocw,die-maschine,first-room,with-support,playstation,https://youtube.com/watch?v=nNw4iX8S3MQ,,co-op,51,4,Antijonson,Pakitoarcade,Muerte88 YT,Ninja renegade,0,
bocw,firebase-z,first-room,with-support,playstation,https://youtube.com/watch?v=kLVu9g0bGrA,,co-op,38,4,Muerte88 YT,Antijonson,Pakitoarcade,El domador,0,
