game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,buried,flawless,,steam,http://twitch.tv/videos/978557175,,co-op,52,3,notwayq,NeiZz,Maniazzthereturn,,0,
bo2,town,first-room,classic,steam,https://youtube.com/watch?v=AYk_Qdi1FRc,,co-op,51,4,Blasters,LeGrandJWD,NeiZz,notwayq,0,
bo3,kino-der-toten,first-room,no-gobblegum,steam,https://youtube.com/watch?v=M4FHF4Y4gNs,,solo,36,1,NeiZz,,,,0,
bo3,origins,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=lOC3fVQprSw,,co-op,24,2,NeiZz,Numah,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,steam,https://youtube.com/watch?v=cT8eRXJjHdE,,co-op,18,3,NeiZz,SoftGR,Numah,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=cT8eRXJjHdE,,co-op,18,3,NeiZz,Numah,SoftGR,,0,
bo2,mob-of-the-dead,no-power,,steam,https://youtube.com/watch?v=UPZqv-ppqXI,,co-op,53,3,notwayq,NeiZz,Thysa,,0,
bo3,verruckt,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=xVOUV27kYiw,,solo,31:51,1,NeiZz,,,,0,
bo2,origins,30-speedrun,,steam,https://youtube.com/watch?v=c6lrbP46eS0,,co-op,39:59,2,NeiZz,notwayq,,,0,
community,die-rise,com-b23r,,steam,https://youtube.com/watch?v=7OIugbh3dco,,co-op,24,2,NeiZz,notwayq,,,0,
community,mob-of-the-dead,com-warden,,steam,http://twitch.tv/videos/971700866,,co-op,26,4,LeGrandJWD,notwayq,NeiZz,Maniazzthereturn,0,
