game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,steam,https://youtube.com/watch?v=tazemxcccUY,,solo,238,1,Nestor53,,,,0,
bo,moon,high-round,,steam,https://youtube.com/watch?v=H2fMOdXDN64,,solo,235,1,Nestor53,,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/592068925,,solo,232,1,Nestor53,,,,0,
bo,verruckt,high-round,,steam,https://youtube.com/watch?v=zD5PhRypiwI,,solo,208,1,Nestor53,,,,0,
bo,shangri-la,high-round,,steam,http://twitch.tv/videos/1463109980,,solo,195,1,Nestor53,,,,0,
bo3,the-giant,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=LRy3p0coSYA,,solo,165,1,Nestor53,,,,0,
bo,nacht-der-untoten,high-round,,steam,http://twitch.tv/videos/1940946980,,solo,144,1,Nestor53,,,,0,
bo,verruckt,high-round,,steam,http://twitch.tv/videos/1557219006,,co-op,117,2,Nestor53,xMiistRal,,,0,
bo,nacht-der-untoten,high-round,,steam,https://youtube.com/watch?v=ANiBtjELbsg,,co-op,110,2,Nestor53,Jordi Pi,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/2154763959,,co-op,106,4,Nestor53,Jordi Pi,xTerrieR,Cale,0,
bo2,town,high-round,,steam,http://twitch.tv/videos/1514992868,,solo,99,1,Nestor53,,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/728362656,,co-op,67,4,Jordi Pi,Nestor53,Commander Borja,testerXVI,0,
bo,kino-der-toten,flawless,,steam,http://twitch.tv/videos/592066798,,solo,209,1,Nestor53,,,,0,
bo,shangri-la,flawless,,steam,http://twitch.tv/videos/1463109980,,solo,195,1,Nestor53,,,,0,
bo,verruckt,flawless,,steam,http://twitch.tv/videos/1548589405,,solo,191,1,Nestor53,,,,0,
bo,shangri-la,no-power,,playstation,https://youtube.com/watch?v=9qJ-TMtC8eY,,solo,110,1,Nestor53,,,,0,
bo4,blood-of-the-dead,no-power,classic-elixirs-only,playstation,https://youtube.com/watch?v=L1iQ4lwfbIs,,solo,53,1,Nestor53,,,,0,
bo4,classified,no-power,all-elixirs-talismans,playstation,https://youtube.com/watch?v=bS8bx3b0hJI,,co-op,53,2,Nestor53,OhneZzZ,,,0,
bo,five,no-power,,steam,http://twitch.tv/videos/2131818915,,co-op,41,4,xTerrieR,Jordi Pi,Cale,Nestor53,0,
bo,kino-der-toten,no-jug,,steam,http://twitch.tv/videos/1642803604,,solo,134,1,Nestor53,,,,0,
bo,kino-der-toten,50-speedrun,,steam,http://twitch.tv/videos/741247207,,co-op,5:54:03,4,Jordi Pi,Commander Borja,Nestor53,testerXVI,0,
bo,moon,100-speedrun,,steam,https://youtube.com/watch?v=ntLSda59uiA,,solo,6:45:51,1,Nestor53,,,,0,
bo,verruckt,200-speedrun,,steam,http://twitch.tv/videos/1619771143,,solo,75:04:40,1,Nestor53,,,,0,
bo4,voyage-of-despair,realistic,classic-elixirs-only,playstation,https://youtube.com/watch?v=_G5GehHGKug,,solo,26,1,Nestor53,,,,0,
