game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,classified,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=oqkEEM4MkVs,,co-op,83,3,Ruthless,Nmeng,ELing,,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=iTyBuUVhAow,,co-op,66,4,ELing,Ruthless,Nmeng,Windsky,0,
bo4,alpha-omega,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=hXDZ7bu2vpE,,co-op,65,4,ELing,Ruthless,Nmeng,mengsi,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=vLezPlNyCe8,,co-op,50,4,ELing,Nmeng,DireWolf,hei,0,
aw,infection,high-round,,steam,https://youtube.com/watch?v=PrekhHnEAxc,,co-op,36,4,ELing,DireWolf,Windsky,Nmeng,0,
bo4,alpha-omega-hardcore,high-round-hc,classic-elixirs-only,battle.net,https://youtube.com/watch?v=ENq1JhT0lKI,,co-op,22,4,ELing,Nmeng,Ruthless,DireWolf,0,
bo4,classified,flawless,classic-elixirs-only,battle.net,https://youtube.com/watch?v=oqkEEM4MkVs,,co-op,82,3,Ruthless,Nmeng,ELing,,0,
bo4,alpha-omega,flawless,classic-elixirs-only,battle.net,https://youtube.com/watch?v=hXDZ7bu2vpE,,co-op,65,4,ELing,Ruthless,Nmeng,mengsi,0,
bo4,tag-der-toten,no-power,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=chJUev0EBiY,,co-op,51,4,ELing,Nmeng,Ruthless,BlackAB,0,
bo4,classified,no-power,classic-elixirs-only-hardcore,battle.net,https://youtube.com/watch?v=Ru3fwBqtE1A,,co-op,46,4,ELing,CarryZombie,Nmeng,LuoMo,0,
aw,infection,30-speedrun,,steam,https://youtube.com/watch?v=PrekhHnEAxc,,co-op,1:32:23,4,DireWolf,ELing,Nmeng,Windsky,0,
waw,der-riese,50-speedrun,original,steam,https://youtube.com/watch?v=vLezPlNyCe8,,co-op,4:52:23,4,ELing,DireWolf,Nmeng,hei,0,
bo6,the-tomb,100-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=yMLRsny-N6k,,co-op,2:28:43,4,ELing,McQueen,sisiei,Nmeng,0,
bo6,liberty-falls,100-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=Pu2zi3NrPPA,,co-op,3:34:37,4,ELing,Mr.moli,LuoMo,Nmeng,0,
bo4,an-ice-day-in-hell,gauntlet,classic-elixirs-only,battle.net,https://youtube.com/watch?v=SVV71qd2K3w,,co-op,1:39:30,3,ELing,Nmeng,Xianyu,,0,
mw,talsik-backlot,high-round-survival,,battle.net,https://youtube.com/watch?v=wKJWIagdQHc,,co-op,106,4,ELing,hei,Nmeng,Nnong,0,
mw,ahzir-cave-night,high-round-survival,,battle.net,https://youtube.com/watch?v=q3T8INdelwk,,co-op,103,4,ELing,Nmeng,Ruthless,DireWolf,0,
