game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
custom,kowloon-reimagined-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1011098952,,solo,115,1,Noahlisious,,,,0,
custom,kowloon-reimagined-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1024182385,,co-op,108,2,Dotty,Noahlisious,,,0,
custom,nuketown-reimagined-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1043032612,,co-op,35,2,Dotty,Noahlisious,,,0,
custom,kowloon-reimagined-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1048762525,,solo,102,1,Noahlisious,,,,0,
custom,mori-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1278912870,,solo,60,1,Noahlisious,,,,0,
custom,the-winchester-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1080526207,,solo,50,1,Noahlisious,,,,0,
custom,town-reimagined-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1054576458,,solo,30,1,Noahlisious,,,,0,
custom,les-cendres-du-mal-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1046747290,,solo,25,1,Noahlisious,,,,0,
custom,les-cendres-du-mal-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1083954924,,co-op,15,2,Dotty,Noahlisious,,,0,
custom,wanted-bo3,custom-flawless-bo3,,steam,http://twitch.tv/videos/1046747289,,solo,11,1,Noahlisious,,,,0,
bo3,the-giant,no-aat,mega-gobblegum,steam,http://twitch.tv/videos/925852734,,co-op,25,2,RunTheTrap,Noahlisious,,,0,
bocw,die-maschine,purist-highrounds,,steam,http://twitch.tv/videos/1172637838,,co-op,67,2,Noahlisious,Shu,,,0,
custom,nuketown-reimagined-bo3,custom-first-room-bo3,,steam,http://twitch.tv/videos/1043032612,,co-op,35,2,Dotty,Noahlisious,,,0,
custom,les-cendres-du-mal-bo3,custom-first-room-bo3,,steam,http://twitch.tv/videos/1083954924,,co-op,26,2,Dotty,Noahlisious,,,0,
custom,the-winchester-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=kf327Bv8_yg,,solo,19,1,Noahlisious,,,,0,
custom,nuketown-reimagined-bo3,custom-first-room-bo3,,steam,http://twitch.tv/videos/1039959471,,solo,18,1,Noahlisious,,,,0,
custom,compound-bo3,custom-first-room-bo3,,steam,http://twitch.tv/videos/1032071774,,co-op,18,2,Noahlisious,Dotty,,,0,
custom,kowloon-reimagined-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=haeMzrlH4lM,,co-op,18,2,Shemly,Noahlisious,,,0,
custom,kowloon-reimagined-bo3,custom-first-room-bo3,,steam,http://twitch.tv/videos/1045491497,,solo,12,1,Noahlisious,,,,0,
custom,mori-bo3,custom-no-power-bo3,,steam,http://twitch.tv/videos/1083575525,,solo,45,1,Noahlisious,,,,0,
custom,les-cendres-du-mal-bo3,custom-no-power-bo3,,steam,http://twitch.tv/videos/1083954924,,co-op,26,2,Noahlisious,Dotty,,,0,
custom,les-cendres-du-mal-bo3,custom-no-power-bo3,,steam,http://twitch.tv/videos/1054576459,,solo,20,1,Noahlisious,,,,0,
custom,kowloon-reimagined-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=haeMzrlH4lM,,co-op,18,2,Shemly,Noahlisious,,,0,
custom,kowloon-reimagined-bo3,custom-no-power-bo3,,steam,http://twitch.tv/videos/1047883238,,solo,16,1,Noahlisious,,,,0,
bocw,game-show,onslaught,,steam,https://youtube.com/watch?v=08oZ0BJeM9M,,co-op,277,2,Noahlisious,Shu,,,0,
bo3,the-giant,no-perks,mega-gobblegum,steam,http://twitch.tv/videos/925852734,,co-op,25,2,RunTheTrap,Noahlisious,,,0,
bo3,shadows-of-evil,no-perks,classic-gobblegum-only,steam,http://twitch.tv/videos/1023491382,,co-op,19,2,Noahlisious,RunTheTrap,,,0,
