game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,steam,https://youtube.com/watch?v=x9clUpm1ZZI,,solo,221,1,NuKeR,,,,0,
bo,ascension,first-room,,steam,http://twitch.tv/videos/39881485,,solo,54,1,NuKeR,,,,0,
bo,shi-no-numa,first-room,,playstation,https://youtube.com/watch?v=I_uj0R7QC_Y,,co-op,35,2,Verition,NuKeR,,,0,
bo,shangri-la,first-room,original,steam,http://twitch.tv/videos/10468514,,co-op,34,2,PaddeH,NuKeR,,,0,
bo,five,first-room,,steam,https://youtube.com/watch?v=lQdzgJhhXbg,,co-op,25,3,Verition,PaddeH,NuKeR,,0,
bo3,the-giant,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=t_Tid_aM4iM,,solo,86,1,NuKeR,,,,0,
bo,call-of-the-dead,no-power,,steam,http://twitch.tv/videos/13742564,,co-op,55,2,Furret,NuKeR,,,0,
bo,der-riese,30-speedrun,,steam,https://youtube.com/watch?v=2dyPQXkTBfc,,solo,30:58,1,NuKeR,,,,0,
bo,ascension,30-speedrun,,steam,https://youtube.com/watch?v=IVoi_fCRX3E,,solo,31:03,1,NuKeR,,,,0,
bo,kino-der-toten,30-speedrun,,playstation,https://youtube.com/watch?v=L9lqWBH9dD0,,solo,32:35,1,NuKeR,,,,0,
bo,ascension,50-speedrun,,steam,https://youtube.com/watch?v=IVoi_fCRX3E,,solo,1:04:01,1,NuKeR,,,,0,
bo,kino-der-toten,50-speedrun,,playstation,https://youtube.com/watch?v=L9lqWBH9dD0,,solo,1:18:40,1,NuKeR,,,,0,
bo,ascension,70-speedrun,,steam,https://youtube.com/watch?v=4x_WKS3gZXE,,solo,2:17:43,1,NuKeR,,,,0,
bo,ascension,100-speedrun,,steam,https://youtube.com/watch?v=4x_WKS3gZXE,,solo,6:31:16,1,NuKeR,,,,0,
bo,ascension,200-speedrun,,steam,https://youtube.com/watch?v=x9clUpm1ZZI,,solo,45:03:50,1,NuKeR,,,,0,
