game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,the-tomb,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=ZXhKnCELzys,,solo,999,1,OG Zombies Qc,,,,0,
bocw,mauer-der-toten,high-round,with-support,xbox,https://youtube.com/watch?v=AV1QJwdkxWE,,solo,452,1,OG Zombies Qc,,,,0,
bo6,the-tomb,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=1_A9fznhVr4,,solo,361,1,OG Zombies Qc,,,,0,
bo6,the-tomb,high-round,no-gobblegums-no-support,xbox,https://youtube.com/watch?v=xNir0cRzvfo,,solo,256,1,OG Zombies Qc,,,,0,
bocw,mauer-der-toten,high-round,without-support,xbox,http://twitch.tv/videos/1724842430,,co-op,121,3,OG Zombies Qc,Isnokill,PAP-Zombies Bot,,0,
bocw,mauer-der-toten,high-round,without-support,xbox,http://twitch.tv/videos/1671930282,,solo,114,1,OG Zombies Qc,,,,0,
bocw,mauer-der-toten,flawless,with-support,xbox,https://youtube.com/watch?v=A_ZGawANp-4,,solo,451,1,OG Zombies Qc,,,,0,
bo6,the-tomb,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=49l4vrnwdEI,,solo,391,1,OG Zombies Qc,,,,0,
bo6,the-tomb,flawless,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=7INSZwol8Kc,,solo,305,1,OG Zombies Qc,,,,0,
bo6,the-tomb,flawless,no-gobblegums-no-support,xbox,https://youtube.com/watch?v=rj_LvNaEFYA,,solo,235,1,OG Zombies Qc,,,,0,
bocw,mauer-der-toten,flawless,without-support,xbox,http://twitch.tv/videos/1850082000,,solo,89,1,OG Zombies Qc,,,,0,
bocw,mauer-der-toten,flawless,without-support,xbox,http://twitch.tv/videos/1765586788,,co-op,70,2,OG Zombies Qc,BeTTaPacKaZomBiE,,,0,
mw3-2023,urzikstan,warlord-speedrun,dokkaebi,xbox,https://youtube.com/watch?v=RtkOSuODQVk,,solo,1:30,1,OG Zombies Qc,,,,0,
mw3-2023,urzikstan,warlord-speedrun,legacy,xbox,https://youtube.com/watch?v=Wpwb0m-Poaw,,solo,3:00,1,OG Zombies Qc,,,,0,
mw3-2023,urzikstan,warlord-speedrun,keres,xbox,https://youtube.com/watch?v=HWw1cDt__kU,,solo,3:13,1,OG Zombies Qc,,,,0,
mw3-2023,urzikstan,warlord-speedrun,rainmaker,xbox,https://youtube.com/watch?v=KBmC1qZrZmg,,solo,3:34,1,OG Zombies Qc,,,,0,
mw3-2023,urzikstan,dark-aether-speedrun,said-city,xbox,https://youtube.com/watch?v=Mt_6A2xCsW4,,solo,6:20,1,OG Zombies Qc,,,,0,
mw3-2023,urzikstan,dark-aether-speedrun,al-bagra,xbox,https://youtube.com/watch?v=iDae2kacat8,,solo,9:08,1,OG Zombies Qc,,,,0,
bocw,dead-ops-arcade-iii,doa,first-person,xbox,https://youtube.com/watch?v=711cZAALpug,,solo,125,1,OG Zombies Qc,,,,0,
bocw,dead-ops-arcade-iii,doa,high-round,xbox,https://youtube.com/watch?v=711cZAALpug,,solo,125,1,OG Zombies Qc,,,,0,
bocw,dead-ops-arcade-iii,doa,flawless,xbox,https://youtube.com/watch?v=wvoj18jEBEo,,solo,65,1,OG Zombies Qc,,,,0,
bocw,dead-ops-arcade-iii,doa,flawless,cross-play,http://twitch.tv/videos/1847319800,,co-op,41,3,OG Zombies Qc,BeTTaPacKaZomBiE,KARL TH3 K1LL3R,,0,
bocw,dead-ops-arcade-iii,doa,flawless,cross-play,http://twitch.tv/videos/1869999422,,co-op,23,2,OG Zombies Qc,BeTTaPacKaZomBiE,,,0,
bocw,firebase-z,no-power,,xbox,http://twitch.tv/videos/1688206191,,solo,57,1,OG Zombies Qc,,,,0,
bocw,mauer-der-toten,no-power,,xbox,http://twitch.tv/videos/1672523245,,solo,46,1,OG Zombies Qc,,,,0,
bocw,forsaken,no-power,,xbox,http://twitch.tv/videos/1683759542,,solo,45,1,OG Zombies Qc,,,,0,
bocw,nuketown-84,onslaught,containment,xbox,https://youtube.com/watch?v=GjPxdRFNFSo,,solo,1309,1,OG Zombies Qc,,,,0,
bocw,nuketown-84,onslaught,onslaught,cross-play,https://youtube.com/watch?v=una1biPsJtQ,,co-op,707,2,OG Zombies Qc,MisterDarl,,,0,
bocw,nuketown-84,onslaught,containment,playstation,https://youtube.com/watch?v=Knwyr7IvNIo,,co-op,702,2,BeTTaPacKaZomBiE,OG Zombies Qc,,,0,
bocw,u-bahn,onslaught,,xbox,https://youtube.com/watch?v=k2HG8859hvA,,co-op,382,2,OG Zombies Qc,Alovebug2,,,0,
bocw,nuketown-84,onslaught,onslaught,xbox,https://youtube.com/watch?v=_5jkLvYWjgk,,solo,341,1,OG Zombies Qc,,,,0,
bocw,game-show,onslaught,,xbox,http://twitch.tv/videos/1795700215,,co-op,171,2,OG Zombies Qc,BeTTaPacKaZomBiE,,,0,
bocw,mauer-der-toten,no-jug,with-armour,xbox,http://twitch.tv/videos/1745428175,,solo,323,1,OG Zombies Qc,,,,0,
bo6,the-tomb,no-jug,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=c-iEoY1o5QU,,solo,244,1,OG Zombies Qc,,,,0,
bo6,the-tomb,no-jug,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=gLCnxdI0YNg,,co-op,201,2,OG Zombies Qc,Elpablocito,,,0,
