game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,kino-der-toten,first-room,,playstation,https://youtube.com/watch?v=_L4UyAmM2RY,,co-op,43,2,OWNEDmyCONTROL,InfernoMaarten,,,0,
bo2,origins,first-room,,playstation,https://youtube.com/watch?v=NWFEUaGriJg,,co-op,43,2,InfernoMaarten,OWNEDmyCONTROL,,,0,
bo,nacht-der-untoten,first-room,,playstation,https://youtube.com/watch?v=kao_kG8FG28,,co-op,37,2,InfernoMaarten,OWNEDmyCONTROL,,,0,
bo2,nuketown,first-room,,playstation,https://youtube.com/watch?v=XPPkPMtFLos,,solo,36,1,OWNEDmyCONTROL,,,,0,
bo2,buried,first-room,processing,playstation,https://youtube.com/watch?v=I1yDKZJNI2I,,co-op,35,2,OWNEDmyCONTROL,InfernoMaarten,,,0,
bo,five,first-room,,playstation,https://youtube.com/watch?v=pnfLkt26Wkw,,co-op,34,2,InfernoMaarten,OWNEDmyCONTROL,,,0,
bo2,mob-of-the-dead,first-room,,playstation,https://youtube.com/watch?v=r--bF-GR2SM,,co-op,33,2,OWNEDmyCONTROL,InfernoMaarten,,,0,
bo,verruckt,first-room,mixed,playstation,https://youtube.com/watch?v=c-kmps3dNG0,,co-op,28,3,InfernoMaarten,OWNEDmyCONTROL,Inzidude,,0,
bo,five,first-room,,playstation,https://youtube.com/watch?v=Lvel_EC65NM,,co-op,25,3,InfernoMaarten,t1malele,OWNEDmyCONTROL,,0,
bo,verruckt,first-room,mixed,playstation,https://youtube.com/watch?v=5dEwZM1dNBw,,co-op,23,4,InfernoMaarten,t1malele,OWNEDmyCONTROL,Swadow,0,
bo2,mob-of-the-dead,first-room,,playstation,https://youtube.com/watch?v=XtA0vw1C1M8,,co-op,23,3,OWNEDmyCONTROL,Hergi,KaisaKMK94,,0,
