game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,high-round,no-gobblegum,xbox,https://youtube.com/watch?v=MXIzSsqQUes,,co-op,51,3,NicZombies,Original Dirty,iChrome,,0,
bo3,shangri-la,high-round,no-gobblegum,xbox,http://twitch.tv/videos/694020426,,co-op,41,2,NicZombies,Original Dirty,,,0,
bo3,origins,flawless,classic-gobblegum-only,xbox,http://twitch.tv/videos/679174826,,co-op,63,2,NicZombies,Original Dirty,,,0,
bo3,kino-der-toten,flawless,classic-gobblegum-only,xbox,http://twitch.tv/videos/680203423,,co-op,47,2,NicZombies,Original Dirty,,,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,xbox,https://youtube.com/watch?v=t8roWyYF_Ws,,co-op,17,3,NicZombies,Original Dirty,iChrome,,0,
bo3,shangri-la,30-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/694020426,,co-op,52:15,2,NicZombies,Original Dirty,,,0,
bo3,der-eisendrache,30-speedrun,no-gobblegum,xbox,https://youtube.com/watch?v=MXIzSsqQUes,,co-op,56:13,3,NicZombies,Original Dirty,iChrome,,0,
bo3,shadows-of-evil,30-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/694024091,,co-op,57:14,2,NicZombies,Original Dirty,,,0,
bo3,zetsubou-no-shima,30-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/692440888,,co-op,1:03:25,2,NicZombies,Original Dirty,,,0,
bo3,zetsubou-no-shima,50-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/692015227,,co-op,1:56:26,2,NicZombies,Original Dirty,,,0,
bo3,shadows-of-evil,50-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/694024091,,co-op,2:01:43,2,NicZombies,Original Dirty,,,0,
bo3,der-eisendrache,50-speedrun,no-gobblegum,xbox,https://youtube.com/watch?v=MXIzSsqQUes,,co-op,2:41:16,3,NicZombies,Original Dirty,iChrome,,0,
