game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,firebase-z,high-round,with-support,playstation,http://twitch.tv/videos/1582015101,,co-op,219,2,PAPSteve-O,Frac,,,0,
bocw,die-maschine,high-round,without-support,playstation,http://twitch.tv/videos/1593267109,,co-op,104,4,PAPSteve-O,Mrs_Tarheel,CRIMSONTOAST420,its_kazoraps,0,
bocw,firebase-z,high-round,with-support,playstation,http://twitch.tv/videos/1563415453,,co-op,39,4,PAPSteve-O,PAPLesGrossman,Persevere__,BrAinDEDbrandon,0,
bocw,forsaken,flawless,with-support,playstation,http://twitch.tv/videos/1558398963,,co-op,191,2,PAPSteve-O,ET-1--,,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,http://twitch.tv/videos/1557658960,,co-op,165,3,PAPSteve-O,ET-1--,BrAinDEDbrandon,,0,
bocw,firebase-z,flawless,with-support,playstation,http://twitch.tv/videos/1572051719,,co-op,121,3,PAPSteve-O,PAPLesGrossman,YxxnightmarexxY,,0,
bocw,firebase-z,flawless,without-support,playstation,http://twitch.tv/videos/1556709196,,solo,81,1,PAPSteve-O,,,,0,
bocw,mauer-der-toten,flawless,with-support,steam,https://youtube.com/watch?v=_p9TSJ0pQ5o,,co-op,80,4,Bhop,Alko,PAPSteve-O,Lesgrossman,0,
bocw,mauer-der-toten,flawless,without-support,playstation,http://twitch.tv/videos/1562247870,,co-op,73,4,PAPLesGrossman,PAPSteve-O,BrAinDEDbrandon,420xjordan,0,
bocw,firebase-z,flawless,without-support,playstation,http://twitch.tv/videos/1556139607,,co-op,55,2,PAPSteve-O,BrAinDEDbrandon,,,0,
bocw,dead-ops-arcade-iii,doa,flawless,steam,https://youtube.com/watch?v=N-p_N7umEyM,,co-op,64,4,Frac,PAPSteve-O,Premedsolid85,Anti DOA,0,
bocw,dead-ops-arcade-iii,doa,flawless,steam,https://youtube.com/watch?v=yMgmurbEy4Q,,co-op,41,2,Frac,PAPSteve-O,,,0,
bocw,firebase-z,first-room,no-support,playstation,https://youtube.com/watch?v=DrcHvIsbOYc,,co-op,35,4,Tha1TruPlug,its_kazoraps,Frac,PAPSteve-O,0,
bocw,firebase-z,no-power,,playstation,http://twitch.tv/videos/1570586209,,solo,56,1,PAPSteve-O,,,,0,
bocw,die-maschine,no-armor,,playstation,http://twitch.tv/videos/1593267109,,co-op,104,4,PAPSteve-O,its_kazoraps,Mrs_Tarheel,CRIMSONTOAST420,0,
bocw,firebase-z,50-speedrun,normal,playstation,https://youtube.com/watch?v=Ej-1B7JKq3o,,co-op,2:03:57,3,Frac,PAPSteve-O,Tha1TruPlug,,0,
community,firebase-z,com-second-room,,playstation,http://twitch.tv/videos/1555605823,,co-op,39,2,PAPLesGrossman,PAPSteve-O,,,0,
community,forsaken,melee,,playstation,http://twitch.tv/videos/1585128061,,co-op,42,3,PAPSteve-O,PAPLesGrossman,ET-1--,,0,
community,firebase-z,com-colonels,,playstation,http://twitch.tv/videos/1583312221,,co-op,34,3,BeTTaPacKaZomBiE,PAPSteve-O,420xjordan,,0,
