game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
sker-ritual,cursed-lands-of-lavernock,high-round,normal,xbox,http://twitch.tv/videos/2141834898,,solo,75,1,Philthy Good 1,,,,0,
sker-ritual,cursed-lands-of-lavernock,high-round,nightmare,xbox,http://twitch.tv/videos/2146036696,,solo,71,1,Philthy Good 1,,,,0,
sker-ritual,cursed-lands-of-lavernock,high-round,nightmare,xbox,http://twitch.tv/videos/2148607695,,co-op,51,2,Philthy Good 1,Renagaderr,,,0,
sker-ritual,cursed-lands-of-lavernock,first-room,nightmare,xbox,http://twitch.tv/videos/2149175743,,solo,20,1,Philthy Good 1,,,,0,
sker-ritual,cursed-lands-of-lavernock,30-speedrun,nightmare,xbox,http://twitch.tv/videos/2151090812,,co-op,39:38,2,Philthy Good 1,Renagaderr,,,0,
sker-ritual,the-ashes-of-sker-hotel,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2146746116,,co-op,21:09,2,Philthy Good 1,Renagaderr,,,0,
sker-ritual,cursed-lands-of-lavernock,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2147627916,,co-op,22:47,2,Philthy Good 1,Renagaderr,,,0,
sker-ritual,the-ashes-of-sker-hotel,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2144085185,,solo,23:56,1,Philthy Good 1,,,,0,
sker-ritual,sewers-of-the-dead,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2146872751,,co-op,30:13,2,Philthy Good 1,Renagaderr,,,0,
sker-ritual,cursed-lands-of-lavernock,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2143288766,,solo,30:20,1,Philthy Good 1,,,,0,
sker-ritual,cursed-lands-of-lavernock,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2145140944,,co-op,35:26,2,Philthy Good 1,Cel7ic Death,,,0,
sker-ritual,deadly-lovers-fortress,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2144205612,,solo,38:36,1,Philthy Good 1,,,,0,
sker-ritual,sewers-of-the-dead,ee-speedrun,nightmare-casual-ee,xbox,http://twitch.tv/videos/2144239966,,solo,38:45,1,Philthy Good 1,,,,0,
