game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,shi-no-numa,high-round,,xbox,http://twitch.tv/videos/1774865769,,co-op,35,4,RoboJesus89,JablesM,GHOST UDT9474,Pulse ay,0,
bo,ascension,high-round,,xbox,http://twitch.tv/videos/1778430128,,co-op,32,4,RoboJesus89,Pulse ay,JablesM,Kiffst du,0,
bo,call-of-the-dead,high-round,,xbox,http://twitch.tv/videos/1799757007,,co-op,21,4,JablesM,RoboJesus89,Pulse ay,Im Totally Sad,0,
bo,call-of-the-dead,flawless,,xbox,http://twitch.tv/videos/2031970381,,co-op,37,4,Trickster8oo4,TheZombieKing,iijoelxx,Pulse ay,0,
iw,shaolin-shuffle,flawless,fate-cards-only,xbox,http://twitch.tv/videos/2123699266,,co-op,19,4,NuclearOrange7,Pulse ay,IDKPlankton,StankySteve,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/2123661266,,co-op,24,4,NuclearOrange7,CitricFNATic,Pulse ay,Player 4,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/2112293659,,co-op,22,4,Pulse ay,NuclearOrange7,oE1k,I am the spy255,0,
bo,moon,no-power,,xbox,http://twitch.tv/videos/1992594974,,co-op,39,4,Trickster8oo4,TheZombieKing,Pulse ay,iijoelxx,0,
bo2,nuketown,no-magic,,xbox,http://twitch.tv/videos/2157090604,,co-op,29,4,NuclearOrange7,Pulse ay,CandyPills,Player 4,0,
bo,ascension,30-speedrun,,xbox,https://youtube.com/watch?v=WZwsjkGjEko,,co-op,1:57:13,4,RoboJesus89,Pulse ay,JablesM,Kiffst du,0,
bo,shi-no-numa,30-speedrun,,xbox,https://youtube.com/watch?v=LYeol1N56Vk,,co-op,2:26:23,4,RoboJesus89,JablesM,Pulse ay,GHOST UDT9474,0,
community,buried,com-second-room,,steam,https://youtube.com/watch?v=07522-QQvbI,,co-op,33,4,Whos_Imi,Pulse ay,Degge1,benniiZ,0,
community,verruckt,com-reversed,world-at-war,xbox,http://twitch.tv/videos/2625932355,,co-op,15,3,Galiaahh,Pulse ay,Light,,0,
