game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,no-gobblegums-with-support,steam,http://twitch.tv/videos/2344519670,,co-op,101,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2344519670,,co-op,20:13,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,liberty-falls,30-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2344519670,,co-op,21:26,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,the-tomb,30-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369850046,,co-op,24:36,3,AnthonyXGod,RainingCows,NandoXGod,,0,
bo6,citadelle-des-morts,30-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2345321815,,co-op,25:06,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,the-tomb,30-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369218989,,co-op,29:18,2,AnthonyXGod,RainingCows,,,0,
bo6,the-tomb,50-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369850046,,co-op,41:13,3,AnthonyXGod,RainingCows,NandoXGod,,0,
bo6,the-tomb,50-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369218989,,co-op,44:57,2,AnthonyXGod,RainingCows,,,0,
bo6,citadelle-des-morts,50-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2345321815,,co-op,52:04,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,liberty-falls,50-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2344519670,,co-op,54:00,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,the-tomb,70-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369850046,,co-op,1:05:35,3,AnthonyXGod,RainingCows,NandoXGod,,0,
bo6,the-tomb,70-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369218989,,co-op,1:10:38,2,AnthonyXGod,RainingCows,,,0,
bo6,citadelle-des-morts,70-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2345321815,,co-op,1:28:50,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2344519670,,co-op,1:34:15,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,the-tomb,100-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369850046,,co-op,1:58:12,3,AnthonyXGod,RainingCows,NandoXGod,,0,
bo6,the-tomb,100-speedrun,rampage-inducer-with-gobblegums,steam,http://twitch.tv/videos/2369218989,,co-op,2:02:07,2,AnthonyXGod,RainingCows,,,0,
bo6,citadelle-des-morts,100-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2345321815,,co-op,2:34:08,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,liberty-falls,100-speedrun,rampage-inducer-no-gobblegums,steam,http://twitch.tv/videos/2344519670,,co-op,2:57:16,4,AnthonyXGod,NandoXGod,PapaSmurf429,RainingCows,0,
bo6,liberty-falls,ee-speedrun,no-gobblegums,steam,http://twitch.tv/videos/2370871214,,co-op,13:05,3,AnthonyXGod,NandoXGod,RainingCows,,0,
bo6,liberty-falls,ee-speedrun,no-gobblegums,steam,http://twitch.tv/videos/2365653986,,co-op,14:16,2,AnthonyXGod,RainingCows,,,0,
bo6,the-tomb,ee-speedrun,with-gobblegums,steam,http://twitch.tv/videos/2385119105,,co-op,19:40,2,AnthonyXGod,RainingCows,,,0,
bo6,citadelle-des-morts,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=xLmraow-7ms,,co-op,23:05,3,AnthonyXGod,NandoXGod,RainingCows,,0,
bo6,the-tomb,ee-speedrun,with-gobblegums,steam,http://twitch.tv/videos/2384095634,,co-op,24:09,3,AnthonyXGod,Gardningtools,RainingCows,,0,
bo6,terminus,ee-speedrun,no-gobblegums,steam,http://twitch.tv/videos/2360068297,,co-op,31:21,3,AnthonyXGod,NandoXGod,RainingCows,,0,
bo6,the-tomb,build-speedrun,with-gobblegums,steam,http://twitch.tv/videos/2384071698,,co-op,24:01,3,AnthonyXGod,Gardningtools,RainingCows,,0,
bo6,terminus,build-speedrun,no-gobblegums,steam,http://twitch.tv/videos/2360068297,,co-op,31:22,3,AnthonyXGod,NandoXGod,RainingCows,,0,
