game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shi-no-numa,high-round,mega-gobblegum,xbox,https://youtube.com/watch?v=U7o5nzkVw8M,,co-op,42,3,ReelablePenny14,SNARFFSNARFF420,gr3yph03n1x,,0,
bo3,kino-der-toten,flawless,classic-gobblegum-only,xbox,https://youtube.com/watch?v=rOB8vazKN90,,solo,63,1,ReelablePenny14,,,,0,
bo3,ascension,flawless,no-gobblegum,steam,https://youtube.com/watch?v=NAEfMf_Gh00,,solo,59,1,ReelablePenny14,,,,0,
bo3,shi-no-numa,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=Qzr16VTi0-Q,,solo,42,1,ReelablePenny14,,,,0,
bo3,nacht-der-untoten,flawless,no-gobblegum,steam,https://youtube.com/watch?v=mVWJsXW1WXk,,solo,35,1,ReelablePenny14,,,,0,
bo3,moon,flawless,no-gobblegum,xbox,https://youtube.com/watch?v=aAke9ZHSKSs,,solo,29,1,ReelablePenny14,,,,0,
bo3,verruckt,flawless,no-gobblegum,xbox,https://youtube.com/watch?v=ZSH10ryNerg,,solo,26,1,ReelablePenny14,,,,0,
bo3,moon,first-room,mega-gobblegum,xbox,https://youtube.com/watch?v=DF862UQonIw,,solo,42,1,ReelablePenny14,,,,0,
bo3,ascension,first-room,no-gobblegum,xbox,https://youtube.com/watch?v=HjCMlR36t9M,,solo,28,1,ReelablePenny14,,,,0,
bo3,ascension,no-power,no-gobblegum,steam,https://youtube.com/watch?v=lXJnS2U7dSY,,solo,44,1,ReelablePenny14,,,,0,
bo3,ascension,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=qXxqWACL-1k,,solo,41,1,ReelablePenny14,,,,0,
bo3,ascension,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=4AfTNWJ9rac,,co-op,24,4,ReelablePenny14,DoLikeGamerGirl,lilizzy17,quadrider413,0,
bo3,kino-der-toten,no-power,no-gobblegum,xbox,https://youtube.com/watch?v=0ggJtcJfUmQ,,solo,20,1,ReelablePenny14,,,,0,
bo3,kino-der-toten,no-power,classic-gobblegum-only,xbox,https://youtube.com/watch?v=XDzYo56HOEk,,co-op,18,3,ReelablePenny14,GuiltyGrin68,HK47 Meatbags,,0,
bo3,ascension,no-jug,no-gobblegum,steam,https://youtube.com/watch?v=6CO-BDBLpoo,,solo,80,1,ReelablePenny14,,,,0,
bo3,kino-der-toten,no-jug,no-gobblegum,xbox,https://youtube.com/watch?v=aAke9ZHSKSs,,solo,43,1,ReelablePenny14,,,,0,
bo3,the-giant,no-jug,no-gobblegum,xbox,https://youtube.com/watch?v=KXSYv6EX4Js,,solo,41,1,ReelablePenny14,,,,0,
bo3,shi-no-numa,no-jug,mega-gobblegum,steam,https://youtube.com/watch?v=Wr_Ib1NW_UY,,solo,20,1,ReelablePenny14,,,,0,
bo3,moon,no-jug,no-gobblegum,xbox,https://youtube.com/watch?v=0ggJtcJfUmQ,,solo,16,1,ReelablePenny14,,,,0,
bo3,moon,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=DF862UQonIw,,solo,28:56,1,ReelablePenny14,,,,0,
bo3,the-giant,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=5Hdjma9t6jg,,solo,30:14,1,ReelablePenny14,,,,0,
bo3,kino-der-toten,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=KXbizYAAS0s,,solo,30:38,1,ReelablePenny14,,,,0,
bo3,kino-der-toten,30-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=xRtB9FS1BV0,,solo,33:38,1,ReelablePenny14,,,,0,
bo3,the-giant,30-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=WFTV-yJn7HQ,,solo,33:46,1,ReelablePenny14,,,,0,
bo3,kino-der-toten,30-speedrun,no-gobblegum,xbox,https://youtube.com/watch?v=W6s6Ch-eUIM,,solo,34:23,1,ReelablePenny14,,,,0,
bo3,the-giant,30-speedrun,no-gobblegum,xbox,https://youtube.com/watch?v=W6s6Ch-eUIM,,solo,35:15,1,ReelablePenny14,,,,0,
bo3,ascension,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=ZOQIxWcsxBU,,solo,35:53,1,ReelablePenny14,,,,0,
bo3,the-giant,30-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=96XuQ6RR_7E,,co-op,37:55,2,ReelablePenny14,UNKNOWNMADNESSS,,,0,
bo3,ascension,30-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=NAEfMf_Gh00,,solo,40:07,1,ReelablePenny14,,,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=H6stDtrO1A4,,solo,45:58,1,ReelablePenny14,,,,0,
bo3,ascension,50-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=NAEfMf_Gh00,,solo,1:39:10,1,ReelablePenny14,,,,0,
