game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,verruckt,high-round,no-gobblegum,steam,https://youtube.com/watch?v=QCCehhuLlqs,,co-op,107,2,Resistance24,Eltete970,,,0,
bo3,verruckt,high-round,no-gobblegum,steam,http://twitch.tv/videos/2109124305,,co-op,84,3,Resistance24,Eltete970,drogopropulsado,,0,
bo3,verruckt,high-round,no-gobblegum,steam,http://twitch.tv/videos/2133960841,,co-op,72,4,Resistance24,Eltete970,Antijonson,Javimula4,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=KX_qmG6HV_8,,solo,164,1,Resistance24,,,,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=vc0yOND_nNU,,co-op,100,2,Dani_Danielin,Resistance24,,,0,
bo3,verruckt,flawless,no-gobblegum,steam,https://youtube.com/watch?v=uehK8MjvY1Y,,solo,92,1,Resistance24,,,,0,
bo2,buried,flawless,,playstation,https://youtube.com/watch?v=vNGlF-QgRT0,,co-op,50,4,zTriCxX__,Alex-Mason74,ShReDDeR-vS,Resistance24,0,
bo2,mob-of-the-dead,flawless,,playstation,https://youtube.com/watch?v=v_kwCwm_bU8,,co-op,41,4,PaiN_WR,ShReDDeR-vS,VST_XxDaxDaxX,Resistance24,0,
bo2,farm,flawless,,playstation,https://youtube.com/watch?v=FaLMx4jh14s,,co-op,34,4,zTriCxX__,Resistance24,Alex-Mason74,ShReDDeR-vS,0,
bo2,bus-depot,flawless,,playstation,https://youtube.com/watch?v=skcmu9gb_mY,,co-op,26,4,PaiN_WR,ShReDDeR-vS,DaxDax99,Resistance24,0,
bo4,blood-of-the-dead-hardcore,flawless-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=KX_qmG6HV_8,,solo,164,1,Resistance24,,,,0,
bo4,ix-hardcore,flawless-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/529541435,,co-op,60,2,VDCT RUMAX177,Resistance24,,,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=-Vd7N2rckak,,solo,71,1,Resistance24,,,,0,
bo4,blood-of-the-dead,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=0M4kkN2P2vA,,solo,60,1,Resistance24,,,,0,
bo4,voyage-of-despair,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=vVxH8pFPIUE,,solo,58,1,Resistance24,,,,0,
bo4,blood-of-the-dead,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=vWU9o6Ukor4,,solo,56,1,Resistance24,,,,0,
bo4,blood-of-the-dead,first-room,no-elixirs,playstation,https://youtube.com/watch?v=Rz2lHqBAkYQ,,co-op,55,2,BITUM,Resistance24,,,0,
bo4,blood-of-the-dead,first-room,no-elixirs,playstation,https://youtube.com/watch?v=dSdx0PSZNAE,,solo,54,1,Resistance24,,,,0,
bo4,blood-of-the-dead,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=-Mf3CAsk_iU,,solo,51,1,Resistance24,,,,0,
bo4,alpha-omega,first-room,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/654529043,,co-op,50,2,AP_DarylBye,Resistance24,,,0,
bo4,voyage-of-despair,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=bihKZmO_IpY,,solo,50,1,Resistance24,,,,0,
bo4,blood-of-the-dead,first-room,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/575305080,,co-op,48,3,BITUM,AP_DarylBye,Resistance24,,0,
bo4,ancient-evil,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=lBttnEvFQxg,,solo,48,1,Resistance24,,,,0,
bo4,alpha-omega,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=641-oQLGRTc,,solo,47,1,Resistance24,,,,0,
bo4,blood-of-the-dead,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=VDECXgN0Lzw,,co-op,47,2,BITUM,Resistance24,,,0,
bo2,town,first-room,semtex-area,plutonium,https://youtube.com/watch?v=PeQW-zZsWzA,,co-op,39,3,ZKenpachii,Eltete970,Resistance24,,0,
bo3,verruckt,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=qmalpWrGcL0,,co-op,39,3,Eltete970,thetorrent67,Resistance24,,0,
bo2,bus-depot,first-room,,playstation,https://youtube.com/watch?v=4WMLHlIKPoo,,co-op,39,2,Resistance24,Shadopp,,,0,
bo2,tranzit,first-room,,steam,https://youtube.com/watch?v=IQATNokrXCw,,co-op,37,3,Resistance24,benniiZ,Waad,,0,
bo4,ancient-evil,first-room,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/584055044,,co-op,37,2,BITUM,Resistance24,,,0,
bo2,bus-depot,first-room,,steam,https://youtube.com/watch?v=V_mthwc-AYU,,co-op,36,4,apasbeau,Resistance24,Waad,benniiZ,0,
bo4,alpha-omega,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=sg02datKQDg,,co-op,36,3,Resistance24,VDCT Paskihugadas,Gencrack765,,0,
bo,shangri-la,first-room,original,steam,http://twitch.tv/videos/2327466628,,co-op,35,4,ZxmbieLegendGER,RainingZombies,MasterSmexy,Resistance24,0,
