game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,gorod-krovi,30-speedrun,no-gobblegum,steam,http://twitch.tv/videos/756424923,,solo,39:47,1,RishOfficial,,,,0,
bo3,shadows-of-evil,30-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/751193675,,solo,44:58,1,RishOfficial,,,,0,
bo3,zetsubou-no-shima,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=YXhDGBoTqdc,,solo,48:08,1,RishOfficial,,,,0,
bo3,shadows-of-evil,30-speedrun,no-gobblegum,steam,http://twitch.tv/videos/755610547,,solo,49:56,1,RishOfficial,,,,0,
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=673jAMyH3OQ,,solo,1:37,1,RishOfficial,,,,0,
bo3,the-giant,ee-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=tky30eCBS90,,solo,2:33,1,RishOfficial,,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=zMN7xcxvsAs,,solo,21:39,1,RishOfficial,,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=joo8e-YThYY,,solo,23:39,1,RishOfficial,,,,0,
bo3,der-eisendrache,ee-speedrun,any,steam,https://youtube.com/watch?v=59TS8Nv7Mas,,solo,26:08,1,RishOfficial,,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=68L8sJl8d3g,,solo,26:16,1,RishOfficial,,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=T6WnHr8R2PY,,solo,26:20,1,RishOfficial,,,,0,
bo3,der-eisendrache,ee-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=G0F2I4vjtTk,,solo,29:36,1,RishOfficial,,,,0,
bo3,der-eisendrache,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=qT-sqGgMjlY,,solo,30:11,1,RishOfficial,,,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=hUUJ7divsAM,,solo,37:07,1,RishOfficial,,,,0,
bo6,liberty-falls,build-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=XqWDCUP6gAU,,solo,16:37,1,RishOfficial,,,,0,
bo3,black-ops-iii,Super-ee-speedrun,any,steam,https://youtube.com/watch?v=673jAMyH3OQ,,solo,2:43:21,1,RishOfficial,,,,0,
bo3,black-ops-iii,Super-ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=o0jrxSn7ygA,,solo,2:44:03,1,RishOfficial,,,,0,
