game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/577303593,,co-op,132,3,djrogba,articblast00,RiskRBK,,0,
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/583869182,,co-op,115,4,djrogba,articblast00,RiskRBK,dekumaster_22,0,
bo4,blood-of-the-dead,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=tQw3Yd3kRNg,,co-op,105,3,Durix_tn,RiskRBK,endlessmadness,,0,
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/571095264,,co-op,99,4,djrogba,articblast00,RiskRBK,LEGO_9800,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/545254486,,co-op,88,4,djrogba,articblast00,LEGO_9800,RiskRBK,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/628873066,,co-op,86,4,articblast00,djrogba,RiskRBK,ProperLearner,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/622525931,,co-op,83,4,djrogba,articblast00,RiskRBK,Yourenotsam115,0,
bo4,voyage-of-despair,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/622524594,,co-op,78,4,djrogba,articblast00,RiskRBK,checinaintcheatn,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/556342512,,co-op,70,3,djrogba,articblast00,RiskRBK,,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/529591058,,co-op,59,4,djrogba,ProperLearner,articblast00,RiskRBK,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/583241802,,co-op,125,2,djrogba,RiskRBK,,,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=WlH6xPHTq-M,,co-op,120,3,djrogba,Yourenotsam115,RiskRBK,,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/574253482,,co-op,100,3,djrogba,articblast00,RiskRBK,,0,
bo4,tag-der-toten-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/587116254,,co-op,95,3,djrogba,articblast00,RiskRBK,,0,
bo4,tag-der-toten-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/589856880,,co-op,94,4,djrogba,articblast00,RiskRBK,checinaintcheatn,0,
bo4,voyage-of-despair-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/1700882685,,co-op,93,2,RiskRBK,debann09,,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/656114904,,co-op,85,2,djrogba,RiskRBK,,,0,
bo4,ancient-evil-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/1559328722,,co-op,81,4,articblast00,ProperLearner,RiskRBK,djrogba,0,
bo4,tag-der-toten-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/578826927,,co-op,80,4,djrogba,articblast00,RiskRBK,TTV_Donny_S,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/552777019,,co-op,69,4,djrogba,articblast00,RiskRBK,True_legend_ops,0,
bo4,alpha-omega-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/555894683,,co-op,60,3,djrogba,articblast00,RiskRBK,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=ZjR-IWcWa8M,,co-op,58,3,checinaintcheatn,djrogba,RiskRBK,,0,
bo4,classified-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/553812249,,co-op,54,4,djrogba,articblast00,LEGO_9800,RiskRBK,0,
bo4,alpha-omega-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/551698545,,co-op,53,4,djrogba,articblast00,RiskRBK,zombieproject911,0,
bo4,alpha-omega-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/550683296,,co-op,50,4,djrogba,articblast00,LEGO_9800,RiskRBK,0,
bo4,classified-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=wCzTPW1k3ww,,co-op,49,4,True_legend_ops,LEGO_9800,RiskRBK,Qilopz,0,
bo4,alpha-omega-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/551137631,,co-op,44,3,djrogba,articblast00,RiskRBK,,0,
bo4,tag-der-toten,flawless,all-elixirs-talismans,playstation,http://twitch.tv/videos/577303593,,co-op,132,3,djrogba,articblast00,RiskRBK,,0,
bo4,voyage-of-despair,flawless,all-elixirs-talismans,playstation,http://twitch.tv/videos/622521016,,co-op,81,4,djrogba,articblast00,RiskRBK,Yourenotsam115,0,
bo4,blood-of-the-dead,flawless,classic-elixirs-only,playstation,http://twitch.tv/videos/1307073501,,co-op,75,4,djrogba,articblast00,RiskRBK,BLACKMIST_mdm,0,
bo4,voyage-of-despair,flawless,classic-elixirs-only,playstation,https://youtube.com/watch?v=UTw3D1PzhaY,,co-op,65,3,RiskRBK,checinaintcheatn,mahopac84,,0,
bo4,tag-der-toten-hardcore,flawless-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=WlH6xPHTq-M,,co-op,120,3,djrogba,Yourenotsam115,RiskRBK,,0,
bo4,voyage-of-despair-hardcore,flawless-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/1700882685,,co-op,93,2,RiskRBK,debann09,,,0,
bo4,tag-der-toten-hardcore,flawless-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/583238551,,co-op,84,2,djrogba,RiskRBK,,,0,
bo4,voyage-of-despair-hardcore,flawless-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/656114904,,co-op,82,2,djrogba,RiskRBK,,,0,
bo4,dead-of-the-night-hardcore,flawless-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/1299310643,,co-op,75,3,djrogba,RiskRBK,articblast00,,0,
