game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/90762479,,co-op,61,3,Ryansteckenger,Gaffy13,Canahaze,,0,
bo3,gorod-krovi,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/78697642,,co-op,35,4,Der_Joker__82,Ryansteckenger,Canahaze,Dr_Systemerror,0,
bo3,der-eisendrache,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/68232193,,co-op,35,4,Der_Joker__82,Matze_is_da27,Ryansteckenger,Canahaze,0,
bo3,der-eisendrache,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/73488733,,co-op,33,4,Ryansteckenger,astra-blizzard,Ramziz_X,GAMER_ZOCKER_,0,
bo3,der-eisendrache,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/67411557,,co-op,23,4,Ryansteckenger,DerWahreSmokeZ,Canahaze,Matze_is_da27,0,
bo3,revelations,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/90762479,,co-op,61,3,Canahaze,Ryansteckenger,Gaffy13,,0,
bo3,revelations,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/90564610,,co-op,60,3,Ryansteckenger,Canahaze,ted11867,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/69592428,,co-op,34,4,Ryansteckenger,Der_Joker__82,astra-blizzard,TaKaIltachi,0,
bo3,der-eisendrache,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/68503991,,co-op,33,4,Der_Joker__82,Ryansteckenger,Canahaze,Matze_is_da27,0,
bo3,der-eisendrache,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/69591675,,co-op,30,4,Ryansteckenger,Der_Joker__82,astra-blizzard,TakaItachi,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/69995765,,co-op,48:20,3,Der_Joker__82,Ryansteckenger,Dkey1993,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/72362904,,co-op,49:11,3,Dkey1993,Ryansteckenger,xMp5-Seppel,,0,
