game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,firebase-z,high-round,with-support,xbox,https://youtube.com/watch?v=c8U3Wbq3xoM,,co-op,33,4,SKTEKILLER,SKTEFLOWZ,FeeX x Vertiix,SKTE AGRO,0,
custom,leviathan-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=PbMcUBUxS-k,,solo,11,1,SKTEKILLER,,,,0,
custom,leviathan-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=ZX_C2AUepl4,,co-op,10,2,SKTEKILLER,Jared_set,,,0,
bo3,moon,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=fKCn6QBesYw,,co-op,35,3,SKTEKILLER,Jared_set,SKTEFLOWZ,,0,
waw,verruckt,flawless,none,steam,https://youtube.com/watch?v=GIGIzoYikL0,,co-op,17,2,SKTEKILLER,Jared_set,,,0,
bo,moon,nml,,xbox,https://youtube.com/watch?v=s_zEwHIIalo,,co-op,36,2,SKTEKILLER,SKTEFLOWZ,,,0,
bo,dead-ops-arcade,doa,,xbox,https://youtube.com/watch?v=64czk5qIZaI,,co-op,18,2,SKTEKILLER,SKTEFLOWZ,,,0,
bo3,moon,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=2xZMalq5Kgw,,co-op,52,3,SKTEKILLER,Jared_set,SKTEFLOWZ,,0,
bocw,die-maschine,first-room,with-support,xbox,https://youtube.com/watch?v=JUI8k_ung1E,,solo,23,1,SKTEKILLER,,,,0,
custom,taco-bell-waw-bo1,custom-first-room,,steam,https://youtube.com/watch?v=ZX_C2AUepl4,,co-op,15,2,SKTEKILLER,Jared_set,,,0,
custom,thunders-box,custom-box-map,,steam,https://youtube.com/watch?v=Ot039dM2Up4,,co-op,50,2,SKTEKILLER,Jared_set,,,0,
