game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,forsaken,first-room,with-support,xbox,http://twitch.tv/videos/1778645208,,solo,53,1,Sawpaing7[CH0DR],,,,0,
bocw,forsaken,first-room,no-support,xbox,http://twitch.tv/videos/1778645208,,solo,52,1,Sawpaing7[CH0DR],,,,0,
bocw,die-maschine,first-room,no-support,xbox,http://twitch.tv/videos/1765780658,,co-op,33,2,Sawpaing7[CH0DR],Missawpa[CH0DR],,,0,
bocw,forsaken,first-room,no-support,xbox,http://twitch.tv/videos/1778273613,,co-op,32,2,Sawpaing7[CH0DR],Missawpa[CH0DR],,,0,
bocw,deprogram,onslaught,,xbox,http://twitch.tv/videos/1307177202,,solo,234,1,Sawpaing7[CH0DR],,,,0,
bocw,moscow,onslaught,,xbox,http://twitch.tv/videos/1776068565,,solo,135,1,Sawpaing7[CH0DR],,,,0,
bocw,apocalypse,onslaught,,xbox,http://twitch.tv/videos/1300804535,,solo,123,1,Sawpaing7[CH0DR],,,,0,
bocw,raid,onslaught,,playstation,http://twitch.tv/videos/1298163546,,co-op,96,2,Sawpaing7[CH0DR],Jescow_- [CH0DR],,,0,
bocw,icbm,onslaught,,playstation,https://youtube.com/watch?v=hGYhi3mmpho,,co-op,70,2,Sawpaing7[CH0DR],Jescow_- [CH0DR],,,0,
bocw,rush,onslaught,,playstation,https://youtube.com/watch?v=WFGjmMX8U74,,co-op,70,2,Jescow_- [CH0DR],Sawpaing7[CH0DR],,,0,
bocw,moscow,onslaught,,xbox,http://twitch.tv/videos/1307195206,,co-op,69,2,Sawpaing7[CH0DR],Jescow_- [CH0DR],,,0,
bocw,echelon,onslaught,,xbox,http://twitch.tv/videos/1297977288,,co-op,69,2,Sawpaing7[CH0DR],Jescow_- [CH0DR],,,0,
bocw,express,onslaught,,playstation,https://youtube.com/watch?v=knPKWU50KZA,,co-op,57,2,Jescow_- [CH0DR],Sawpaing7[CH0DR],,,0,
bocw,mauer-der-toten,exfil-speedrun,round-11,xbox,http://twitch.tv/videos/1772445995,,solo,8:47,1,Sawpaing7[CH0DR],,,,0,
bocw,mauer-der-toten,exfil-speedrun,round-11,xbox,http://twitch.tv/videos/1764296128,,co-op,8:52,2,Jescow_- [CH0DR],Sawpaing7[CH0DR],,,0,
community,forsaken,melee,,xbox,http://twitch.tv/videos/1300796746,,solo,62,1,Sawpaing7[CH0DR],,,,0,
