game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,kino-der-toten,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/1620990557,,solo,255,1,Sefii,,,,0,
bo2,mob-of-the-dead,high-round,,steam,http://twitch.tv/videos/1951361029,,solo,233,1,Sefii,,,,0,
bo,ascension,high-round,,steam,http://twitch.tv/videos/1749102516,,solo,230,1,Sefii,,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/918848668,,solo,224,1,Sefii,,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/977903494,,solo,211,1,Sefii,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/1860103342,,co-op,179,2,Sefii,caperihd,,,0,
bo2,tranzit,high-round,,steam,http://twitch.tv/videos/1426821927,,solo,145,1,Sefii,,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=tz_YVYNMxAo,,solo,101,1,Sefii,,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/1108765239,,co-op,88,4,ganyabwoy,Sefii,Mad_Russian,KyZ_SeiL,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/1558081088,,co-op,75,4,ganyabwoy,Sefii,KingDerWeed,OkLa,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/1033254853,,co-op,72,3,ziP3Rz,Sefii,Dani_ser_00,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=8gMjFItbRpU,,solo,66,1,Sefii,,,,0,
bo2,farm,high-round,,steam,https://youtube.com/watch?v=jDQC4_XDlMQ,,solo,52,1,Sefii,,,,0,
bo,kino-der-toten,flawless,,steam,http://twitch.tv/videos/918847218,,solo,206,1,Sefii,,,,0,
bo2,buried,flawless,,steam,http://twitch.tv/videos/977801567,,solo,200,1,Sefii,,,,0,
bo2,tranzit,flawless,,steam,http://twitch.tv/videos/1426821927,,solo,145,1,Sefii,,,,0,
bo,ascension,flawless,,steam,http://twitch.tv/videos/621628646,,solo,112,1,Sefii,,,,0,
bo2,die-rise,flawless,,steam,http://twitch.tv/videos/711736036,,solo,101,1,Sefii,,,,0,
bo2,town,flawless,,steam,https://youtube.com/watch?v=8gMjFItbRpU,,solo,66,1,Sefii,,,,0,
bo2,farm,flawless,,steam,http://twitch.tv/videos/712287742,,solo,65,1,Sefii,,,,0,
bo2,die-rise,flawless,,steam,http://twitch.tv/videos/611853522,,co-op,64,2,Sefii,jordibrandy,,,0,
bo2,nuketown,flawless,,steam,https://youtube.com/watch?v=PsWvujCI7Io,,solo,61,1,Sefii,,,,0,
bo,ascension,flawless,,steam,https://youtube.com/watch?v=nFz0bc8AJ1w,,co-op,53,2,Sefii,Keyzard,,,0,
bo2,mob-of-the-dead,flawless,,steam,https://youtube.com/watch?v=LvVAKSiLhMc,,solo,53,1,Sefii,,,,0,
bo2,die-rise,flawless,,steam,http://twitch.tv/videos/615205480,,co-op,52,3,soutochr,Sefii,jordibrandy,,0,
bo2,town,flawless,,steam,https://youtube.com/watch?v=XBlxZ7GBaJ4,,co-op,44,2,Ferniigmezz,Sefii,,,0,
bo2,farm,flawless,,steam,https://youtube.com/watch?v=j69JscNDv68,,co-op,36,2,Sefii,RankJavi_Chico,,,0,
bo2,town,flawless,,steam,http://twitch.tv/videos/645310727,,co-op,29,3,Sefii,itrex24,juank923,,0,
bo2,farm,flawless,,steam,https://youtube.com/watch?v=vr6xAmuXo6I,,co-op,25,3,Sefii,JorgitoVK98,RankJavi_Chico,,0,
bo2,tranzit,bo2-no-jug,,steam,http://twitch.tv/videos/1426821927,,solo,145,1,Sefii,,,,0,
bo,ascension,100-speedrun,,steam,http://twitch.tv/videos/1469318511,,solo,6:30:27,1,Sefii,,,,0,
bo,ascension,200-speedrun,,steam,http://twitch.tv/videos/1270494902,,solo,52:00:27,1,Sefii,,,,0,
