game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,shangri-la,high-round,,steam,https://youtube.com/watch?v=0ET6BSMzOQc,,co-op,51,3,Eron1x,Admiral Ackbar,Sheev Palpatine,,0,
bo,moon,high-round,,steam,https://youtube.com/watch?v=NWXO5Wq_8rI,,co-op,43,4,Eron1x,Sheev Palpatine,Admiral Ackbar,Hanf Solo,0,
bo,moon,flawless,,steam,https://youtube.com/watch?v=_QmSAi94apE,,co-op,49,3,Sheev Palpatine,Admiral Ackbar,Eron1x,,0,
bo,shangri-la,flawless,,steam,https://youtube.com/watch?v=W64mzguW9vk,,co-op,43,2,Sheev Palpatine,Admiral Ackbar,,,0,
bo,shangri-la,flawless,,steam,https://youtube.com/watch?v=0ET6BSMzOQc,,co-op,36,3,Eron1x,Admiral Ackbar,Sheev Palpatine,,0,
bo,verruckt,flawless,,steam,https://youtube.com/watch?v=IzEnIPFMq0w,,co-op,35,2,Sheev Palpatine,Admiral Ackbar,,,0,
bo,kino-der-toten,flawless,,steam,https://youtube.com/watch?v=LARZ1-7en1k,,co-op,34,4,Eron1x,Mabba the Hutt,Admiral Ackbar,Sheev Palpatine,0,
bo2,town,no-perks,,steam,http://twitch.tv/videos/298824805,,co-op,37,2,Eron1x,Sheev Palpatine,,,0,
bo,moon,30-speedrun,,steam,https://youtube.com/watch?v=_QmSAi94apE,,co-op,1:13:47,3,Sheev Palpatine,Admiral Ackbar,Eron1x,,0,
bo,kino-der-toten,30-speedrun,,steam,https://youtube.com/watch?v=LARZ1-7en1k,,co-op,1:23:19,4,Eron1x,Mabba the Hutt,Admiral Ackbar,Sheev Palpatine,0,
bo,moon,30-speedrun,,steam,https://youtube.com/watch?v=NWXO5Wq_8rI,,co-op,1:34:02,4,Eron1x,Sheev Palpatine,Admiral Ackbar,Hanf Solo,0,
bo,moon,50-speedrun,,steam,https://youtube.com/watch?v=_QmSAi94apE,,co-op,3:40:04,3,Sheev Palpatine,Admiral Ackbar,Eron1x,,0,
bo,shangri-la,50-speedrun,,steam,https://youtube.com/watch?v=0ET6BSMzOQc,,co-op,6:28:23,3,Eron1x,Admiral Ackbar,Sheev Palpatine,,0,
