game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2169057976,,solo,125,1,Shyster,,,,0,
bo3,origins,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2395284736,,solo,121,1,Shyster,,,,0,
bo3,kino-der-toten,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2161750463,,solo,90,1,Shyster,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2389795294,,co-op,68,3,Tanner,Exerplex,Shyster,,0,
bo3,origins,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2165602953,,co-op,65,2,Shyster,Kiyoshi,,,0,
bo3,gorod-krovi,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2161970999,,solo,61,1,Shyster,,,,0,
bo3,origins,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2159476148,,co-op,57,2,Shyster,Spaggy69,,,0,
bo3,the-giant,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2158059297,,solo,51,1,Shyster,,,,0,
bo3,verruckt,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=-qZ7jEk75AQ,,co-op,43,2,oXiyaa,Shyster,,,0,
custom,the-crazy-place-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/2188822923,,co-op,82,2,Shyster,NUCMEDMAN,,,0,
bo3,origins,flawless,mega-gobblegum,steam,http://twitch.tv/videos/2395284736,,solo,121,1,Shyster,,,,0,
bo3,der-eisendrache,flawless,mega-gobblegum,steam,http://twitch.tv/videos/2158575169,,solo,45,1,Shyster,,,,0,
bo3,origins,first-room,mega-gobblegum,steam,http://twitch.tv/videos/2391440494,,co-op,60,3,Tanner,Shyster,Exerplex,,0,
bo3,der-eisendrache,first-room,mega-gobblegum,steam,http://twitch.tv/videos/2158575169,,solo,45,1,Shyster,,,,0,
bo3,zetsubou-no-shima,first-room,mega-gobblegum,steam,http://twitch.tv/videos/2164806864,,solo,33,1,Shyster,,,,0,
bo3,der-eisendrache,no-power,mega-gobblegum,steam,http://twitch.tv/videos/2158575169,,solo,45,1,Shyster,,,,0,
bo3,origins,no-perks,mega-gobblegum,steam,http://twitch.tv/videos/2177833861,,solo,56,1,Shyster,,,,0,
bo3,moon,no-perks,mega-gobblegum,steam,http://twitch.tv/videos/2167162424,,solo,16,1,Shyster,,,,0,
bo3,ascension,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2167159806,,solo,32:45,1,Shyster,,,,0,
bo3,revelations,50-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2168249645,,solo,1:10:00,1,Shyster,,,,0,
bo3,origins,50-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2165602953,,co-op,1:55:20,2,Shyster,Kiyoshi,,,0,
bo3,revelations,100-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2168249645,,solo,4:05:35,1,Shyster,,,,0,
