game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
uem,mob-bridge-survival,high-round,,steam,https://youtube.com/watch?v=WQGttEeQkDA,,solo,95,1,SicnessKnives,,,,0,
uem,origins,high-round,,steam,https://youtube.com/watch?v=UFKwY6U0NIQ,,solo,93,1,SicnessKnives,,,,0,
uem,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=PLknkpx-C9M,,solo,90,1,SicnessKnives,,,,0,
uem,moon,high-round,,steam,https://youtube.com/watch?v=wNhfwKuW4-c,,solo,80,1,SicnessKnives,,,,0,
uem,ascension,high-round,,steam,https://youtube.com/watch?v=1lZnein1DQo,,co-op,67,2,Click KLACK Run,SicnessKnives,,,0,
uem,the-giant,high-round,,steam,https://youtube.com/watch?v=q8-gGMGVdNs,,solo,61,1,SicnessKnives,,,,0,
uem,minecraft-skyblock-survival,high-round,,steam,https://youtube.com/watch?v=MslWpKOhCRg,,solo,46,1,SicnessKnives,,,,0,
uem,origins,flawless,,steam,https://youtube.com/watch?v=UFKwY6U0NIQ,,solo,93,1,SicnessKnives,,,,0,
uem,moon,flawless,,steam,https://youtube.com/watch?v=wNhfwKuW4-c,,solo,80,1,SicnessKnives,,,,0,
uem,ascension,flawless,,steam,https://youtube.com/watch?v=1lZnein1DQo,,co-op,67,2,Click KLACK Run,SicnessKnives,,,0,
uem,minecraft-skyblock-survival,flawless,,steam,https://youtube.com/watch?v=ihyxS9ST0lo,,solo,42,1,SicnessKnives,,,,0,
uem,moon,uem-enchantment-speedruns,,steam,https://youtube.com/watch?v=wNhfwKuW4-c,,solo,1:36:35,1,SicnessKnives,,,,0,
