game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,der-riese,high-round,original,xbox,https://youtube.com/watch?v=uXcx05W1gME,,solo,88,1,Slang Kush 420,,,,0,
bocw,outbreak,high-round,survival,xbox,https://youtube.com/watch?v=9AHB3D6TUzg,,solo,26,1,Slang Kush 420,,,,0,
bocw,forsaken,flawless,without-support,xbox,http://twitch.tv/videos/2516457718,,solo,329,1,Slang Kush 420,,,,0,
bocw,outbreak,flawless,casual,xbox,http://twitch.tv/videos/1864149030,,solo,151,1,Slang Kush 420,,,,0,
bocw,outbreak,flawless,survival,xbox,http://twitch.tv/videos/2590985289,,solo,65,1,Slang Kush 420,,,,0,
bocw,firebase-z,purist-highrounds,,xbox,https://youtube.com/watch?v=UfBPutggJm8,,co-op,86,2,Persevere__,Slang Kush 420,,,0,
bocw,forsaken,first-room,no-support,xbox,http://twitch.tv/videos/2275637418,,solo,246,1,Slang Kush 420,,,,0,
bocw,forsaken,no-power,,xbox,http://twitch.tv/videos/2300244013,,solo,306,1,Slang Kush 420,,,,0,
bocw,die-maschine,no-power,,xbox,http://twitch.tv/videos/1809943463,,solo,190,1,Slang Kush 420,,,,0,
bocw,forsaken,no-power,,xbox,https://youtube.com/watch?v=ukMPdKD2g54,,co-op,79,2,Tha1TruPlug,Slang Kush 420,,,0,
bocw,forsaken,no-perks,no-support,xbox,http://twitch.tv/videos/2254746824,,solo,357,1,Slang Kush 420,,,,0,
bocw,die-maschine,no-perks,no-support,xbox,http://twitch.tv/videos/2292025245,,solo,241,1,Slang Kush 420,,,,0,
bocw,firebase-z,no-perks,no-support,xbox,http://twitch.tv/videos/2697262061,,solo,204,1,Slang Kush 420,,,,0,
bocw,mauer-der-toten,no-perks,no-support,xbox,http://twitch.tv/videos/2187897580,,solo,175,1,Slang Kush 420,,,,0,
bocw,outbreak,no-perks,,xbox,https://youtube.com/watch?v=mXaf08zc8a8,,co-op,38,2,Tha1TruPlug,Slang Kush 420,,,0,
bocw,forsaken,no-armor,,xbox,http://twitch.tv/videos/2046074914,,solo,301,1,Slang Kush 420,,,,0,
bocw,firebase-z,no-armor,,playstation,http://twitch.tv/videos/2517249005,,co-op,202,2,wolf_leader1016,Slang Kush 420,,,0,
bocw,die-maschine,no-armor,,playstation,http://twitch.tv/videos/2490232340,,co-op,201,2,wolf_leader1016,Slang Kush 420,,,0,
bocw,outbreak,no-armor,,steam,http://twitch.tv/videos/1508974701,,co-op,93,2,IHateThisGame02,Slang Kush 420,,,0,
bocw,outbreak,no-armor,,xbox,https://youtube.com/watch?v=feuY9duhLBQ,,co-op,45,3,Slang Kush 420,CrimsonToast420 -toasty,Tha1TruPlug,,0,
bocw,forsaken,no-jug,no-armour,xbox,http://twitch.tv/videos/2308453990,,solo,357,1,Slang Kush 420,,,,0,
bocw,mauer-der-toten,no-jug,no-armour,xbox,http://twitch.tv/videos/2159882689,,solo,231,1,Slang Kush 420,,,,0,
bocw,outbreak,no-jug,with-armour,xbox,http://twitch.tv/videos/2149510671,,solo,69,1,Slang Kush 420,,,,0,
community,firebase-z,com-second-room,,xbox,http://twitch.tv/videos/1774664053,,solo,181,1,Slang Kush 420,,,,0,
community,firebase-z,com-second-room,,xbox,http://twitch.tv/videos/1534064465,,co-op,59,2,Owen248XPLR,Slang Kush 420,,,0,
community,firebase-z,melee,,xbox,http://twitch.tv/videos/1788375327,,solo,181,1,Slang Kush 420,,,,0,
community,mauer-der-toten,melee,,xbox,http://twitch.tv/videos/1781517241,,solo,178,1,Slang Kush 420,,,,0,
community,forsaken,melee,,xbox,http://twitch.tv/videos/1741861278,,solo,115,1,Slang Kush 420,,,,0,
community,terminus,melee,,xbox,http://twitch.tv/videos/2669636784,,solo,73,1,Slang Kush 420,,,,0,
community,farm,melee,,xbox,http://twitch.tv/videos/2681502507,,solo,68,1,Slang Kush 420,,,,0,
community,shattered-veil,melee,,xbox,http://twitch.tv/videos/2681506447,,solo,64,1,Slang Kush 420,,,,0,
community,ashes-of-the-damned,melee,,xbox,http://twitch.tv/videos/2670479821,,solo,52,1,Slang Kush 420,,,,0,
community,the-archon,melee,,xbox,http://twitch.tv/videos/2666428256,,solo,31,1,Slang Kush 420,,,,0,
community,terra-maledicta,melee,,xbox,http://twitch.tv/videos/2670826235,,solo,22,1,Slang Kush 420,,,,0,
